concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-0937.c1	A01-0937	CB68	A01	
C01-0688.c1	C01-0688	CB68	B04	
C01-0686.c1	C01-0686	CB68	B02	
C01-0687.c1	C01-0687	CB68	B03	
A01-0939.c1	A01-0939	CB68	A03	
A01-0938.c1	A01-0938	CB68	A02	
A01-0940.c1	A01-0940	CB68	A04	
A04-0554.c1	A04-0554	CB68	B01	
C01-0690.c1	C01-0690	CB68	B06	
K01-0388.c1	K01-0388	CB68	C05	
A01-0942.c1	A01-0942	CB68	A06	
P01-0118.c1	P01-0118	CB68	D05	
J01-0411.c1	J01-0411	CB68	C04	
M03-0390.c1	M03-0390	CB68	D01	
H01-0933.c1	H01-0933	CB68	C03	
G01-0499.c1	G01-0499	CB68	C02	
N03-0467.c1	N03-0467	CB68	D03	
N02-0374.c1	N02-0374	CB68	D02	
O01-0497.c1	O01-0497	CB68	D04	
D01-0425.c1	D01-0425	CB68	C01	
C01-0689.c1	C01-0689	CB68	B05	
L01-0567.c1	L01-0567	CB68	C06	
A01-0941.c1	A01-0941	CB68	A05	
Q01-0511.c1	Q01-0511	CB68	D06	
T01-0268.c1	T01-0268	CB69	A03	
R02-0461.c1	R02-0461	CB69	A02	
R01-0495.c1	R01-0495	CB69	A01	
U01-0099.c1	U01-0099	CB69	A04	
