concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
E01-0652.c1	E01-0652	CB89	B03	
J01-0502.c1	J01-0502	CB89	D06	
A01-1058.c1	A01-1058	CB89	A01	
E01-0656.c1	E01-0656	CB89	C01	
E01-0653.c1	E01-0653	CB89	B04	
E01-0651.c1	E01-0651	CB89	B02	
E01-0654.c1	E01-0654	CB89	B05	
A01-1060.c1	A01-1060	CB89	A03	
E01-0658.c1	E01-0658	CB89	C03	
E01-0657.c1	E01-0657	CB89	C02	
C01-0746.c1	C01-0746	CB89	C04	
C01-0747.c1	C01-0747	CB89	C05	
A01-1059.c1	A01-1059	CB89	A02	
A01-1061.c1	A01-1061	CB89	A04	
A01-1062.c1	A01-1062	CB89	A05	
A01-1064.c1	A01-1064	CB89	B01	
C01-0749.c1	C01-0749	CB89	D01	
A01-1063.c1	A01-1063	CB89	A06	
C01-0748.c1	C01-0748	CB89	C06	
T01-0377.c1	T01-0377	CB89	D04	
H01-0953.c1	H01-0953	CB89	D05	
C01-0750.c1	C01-0750	CB89	D02	
A04-0570.c1	A04-0570	CB89	D03	
E01-0655.c1	E01-0655	CB89	B06	
D01-0553.c1	D01-0553	CB90	A03	
O01-0535.c1	O01-0535	CB90	A05	
P01-0152.c1	P01-0152	CB90	A02	
M04-0379.c1	M04-0379	CB90	A04	
N02-0535.c1	N02-0535	CB90	B01	
G01-0601.c1	G01-0601	CB90	B03	
M03-0478.c1	M03-0478	CB90	A06	
K01-0501.c1	K01-0501	CB90	A01	
R02-0502.c1	R02-0502	CB90	B05	
R02-0504.c1	R02-0504	CB90	B02	
Q01-0581.c1	Q01-0581	CB90	B04	
