extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
A02-1402.e1	A02-1402.c1	EB202	D06	G6	
A01-1426.e1	A01-1426.c1	EB202	A04	D4	
F01-1000.e1	F01-1000.c1	EB202	C02	F2	
D01-1002.e1	D01-1002.c1	EB202	B07	E7	
A01-1424.e1	A01-1424.c1	EB202	A02	D2	
O01-0575.e1	O01-0575.c1	EB202	C04	F4	
M03-1001.e1	M03-1001.c1	EB202	C03	F3	
U01-1000.e1	U01-1000.c1	EB202	B06	E6	
A02-1403.e1	A02-1403.c1	EB202	D07	G7	
A02-1405.e1	A02-1405.c1	EB202	E01	H1	
A01-1425.e1	A01-1425.c1	EB202	A03	D3	
A02-1404.e1	A02-1404.c1	EB202	D08	G8	
H01-1010.e1	H01-1010.c1	EB202	B05	E5	
P01-1004.e1	P01-1004.c1	EB202	D01	G1	
Q01-1003.e1	Q01-1003.c1	EB202	B08	E8	
G01-0655.e1	G01-0655.c1	EB202	D05	G5	
C01-1133.e1	C01-1133.c1	EB202	B01	E1	
A04-0575.e1	A04-0575.c1	EB202	D03	G3	
C01-1134.e1	C01-1134.c1	EB202	B02	E2	
J01-1003.e1	J01-1003.c1	EB202	C07	F7	
C01-1131.e1	C01-1131.c1	EB202	A07	D7	
R02-1003.e1	R02-1003.c1	EB202	B04	E4	
C01-1135.e1	C01-1135.c1	EB202	B03	E3	
N02-0571.e1	N02-0571.c1	EB202	C06	F6	
G01-0652.e1	G01-0652.c1	EB202	D02	G2	
A01-1428.e1	A01-1428.c1	EB202	A06	D6	
A02-1294.e1	A02-1294.c1	EB202	D04	G4	
L01-0655.e1	L01-0655.c1	EB202	C05	F5	
A01-1427.e1	A01-1427.c1	EB202	A05	D5	
D01-0619.e1	D01-0619.c1	EB202	C08	F8	
A01-1423.e1	A01-1423.c1	EB202	A01	NAB 160 D1	
C01-1132.e1	C01-1132.c1	EB202	A08	D8	
K01-0544.e1	K01-0544.c1	EB202	C01	F1	
