concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A02-1294.c1	A02-1294	CB203	D01	
G01-0655.c1	G01-0655	CB203	A02	
A02-1403.c1	A02-1403	CB203	C02	
A02-1402.c1	A02-1402	CB203	B02	
A02-1405.c1	A02-1405	CB203	A03	
G01-0652.c1	G01-0652	CB203	B01	
A04-0575.c1	A04-0575	CB203	C01	
A02-1404.c1	A02-1404	CB203	D02	
P01-1004.c1	P01-1004	CB203	A01	
L01-0655.c1	L01-0655	CB202	A06	
Q01-1003.c1	Q01-1003	CB202	D04	
J01-1003.c1	J01-1003	CB202	C06	
C01-1134.c1	C01-1134	CB202	B03	
C01-1132.c1	C01-1132	CB202	D02	
U01-1000.c1	U01-1000	CB202	B04	
R02-1003.c1	R02-1003	CB202	D03	
A01-1428.c1	A01-1428	CB202	B02	
A01-1425.c1	A01-1425	CB202	C01	
A01-1423.c1	A01-1423	CB202	A01	
K01-0544.c1	K01-0544	CB202	A05	
M03-1001.c1	M03-1001	CB202	C05	
C01-1133.c1	C01-1133	CB202	A03	
N02-0571.c1	N02-0571	CB202	B06	
C01-1135.c1	C01-1135	CB202	C03	
A01-1427.c1	A01-1427	CB202	A02	
D01-1002.c1	D01-1002	CB202	C04	
D01-0619.c1	D01-0619	CB202	D06	
H01-1010.c1	H01-1010	CB202	A04	
C01-1131.c1	C01-1131	CB202	C02	
A01-1424.c1	A01-1424	CB202	B01	
O01-0575.c1	O01-0575	CB202	D05	
A01-1426.c1	A01-1426	CB202	D01	
F01-1000.c1	F01-1000	CB202	B05	
