concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
C01-0566.c1	C01-0566	CB11	A06	
C01-0565.c1	C01-0565	CB11	A05	
C01-0562.c1	C01-0562	CB11	A02	
C01-0563.c1	C01-0563	CB11	A03	
C01-0564.c1	C01-0564	CB11	A04	
C01-0561.c1	C01-0561	CB11	A01	
H01-0746.c1	H01-0746	CB11	B04	
C01-0567.c1	C01-0567	CB11	B01	
C01-0569.c1	C01-0569	CB11	B03	
C01-0568.c1	C01-0568	CB11	B02	
C01-0570.c1	C01-0570	CB11	B05	
C01-0575.c1	C01-0575	CB12	D06	
A01-0768.c1	A01-0768	CB12	A01	
C01-0571.c1	C01-0571	CB12	D02	
A04-0530.c1	A04-0530	CB12	A05	
C01-0572.c1	C01-0572	CB12	D03	
C01-0573.c1	C01-0573	CB12	D04	
M04-0225.c1	M04-0225	CB12	B05	
K01-0358.c1	K01-0358	CB12	C06	
J01-0389.c1	J01-0389	CB12	C04	
R02-0389.c1	R02-0389	CB12	C03	
O01-0472.c1	O01-0472	CB12	B01	
H01-0747.c1	H01-0747	CB12	C02	
C01-0574.c1	C01-0574	CB12	D05	
A01-0770.c1	A01-0770	CB12	A03	
A01-0771.c1	A01-0771	CB12	A04	
A01-0769.c1	A01-0769	CB12	A02	
O01-0455.c1	O01-0455	CB12	A06	
K01-0359.c1	K01-0359	CB12	D01	
T01-0247.c1	T01-0247	CB12	B06	
K01-0357.c1	K01-0357	CB12	C05	
G01-0532.c1	G01-0532	CB12	C01	
M03-0309.c1	M03-0309	CB12	B02	
N02-0353.c1	N02-0353	CB12	B04	
N03-0497.c1	N03-0497	CB12	B03	
A01-0773.c1	A01-0773	CB13	A02	
D01-0508.c1	D01-0508	CB13	A05	
K01-0361.c1	K01-0361	CB13	A04	
A01-0772.c1	A01-0772	CB13	A01	
A02-1319.c1	A02-1319	CB13	A03	
A01-0756.c1	A01-0756	CB10	A01	
Q01-0485.c1	Q01-0485	CB10	D06	
R02-0398.c1	R02-0398	CB10	D04	
A01-0760.c1	A01-0760	CB10	A05	
R02-0397.c1	R02-0397	CB10	D03	
Q01-0484.c1	Q01-0484	CB10	D02	
D01-0411.c1	D01-0411	CB10	C06	
A01-0766.c1	A01-0766	CB10	B05	
A02-1318.c1	A02-1318	CB10	C02	
A01-0762.c1	A01-0762	CB10	B01	
A04-0523.c1	A04-0523	CB10	C03	
G01-0541.c1	G01-0541	CB10	C04	
A01-0757.c1	A01-0757	CB10	A02	
A01-0759.c1	A01-0759	CB10	A04	
A01-0758.c1	A01-0758	CB10	A03	
J01-0388.c1	J01-0388	CB10	D05	
H01-0745.c1	H01-0745	CB10	D01	
A01-0761.c1	A01-0761	CB10	A06	
D01-0390.c1	D01-0390	CB10	C05	
A01-0767.c1	A01-0767	CB10	B06	
A01-0764.c1	A01-0764	CB10	B03	
A01-0765.c1	A01-0765	CB10	B04	
A01-0763.c1	A01-0763	CB10	B02	
A02-1317.c1	A02-1317	CB10	C01	
