extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
R01-0432.e1	R01-0432.c1	EB31	C01	C1	
C01-0617.e1	C01-0617.c1	EB31	A07	A7	
C01-0620.e1	C01-0620.c1	EB31	B02	B2	
H01-0908.e1	H01-0908.c1	EB31	B06	B6	
R02-0394.e1	R02-0394.c1	EB31	C05	C5	
U01-0064.e1	U01-0064.c1	EB31	C03	C3	
T01-0256.e1	T01-0256.c1	EB31	B07	B7	
C01-0616.e1	C01-0616.c1	EB31	A06	A6	
A01-0818.e1	A01-0818.c1	EB31	A02	A2	
G01-0526.e1	G01-0526.c1	EB31	C04	C4	
L01-0544.e1	L01-0544.c1	EB31	B03	B3	
O01-0460.e1	O01-0460.c1	EB31	A05	A5	
A01-0817.e1	A01-0817.c1	EB31	A01	NAB 130 A1	
N02-0383.e1	N02-0383.c1	EB31	B04	B4	
Q01-0495.e1	Q01-0495.c1	EB31	B08	B8	
C01-0618.e1	C01-0618.c1	EB31	A08	A8	
M03-0294.e1	M03-0294.c1	EB31	A04	A4	
C01-0619.e1	C01-0619.c1	EB31	B01	B1	
A01-0819.e1	A01-0819.c1	EB31	A03	A3	
J01-0396.e1	J01-0396.c1	EB31	C02	C2	
M04-0212.e1	M04-0212.c1	EB31	B05	B5	
