concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
W02-1008.c1	W02-1008	CB280	A01	
W02-1009.c1	W02-1009	CB280	B01	
O01-1027.c1	O01-1027	CB279	C05	
O01-1026.c1	O01-1026	CB279	B05	
C01-1363.c1	C01-1363	CB279	A02	
C01-1361.c1	C01-1361	CB279	C01	
C01-1360.c1	C01-1360	CB279	B01	
P01-1029.c1	P01-1029	CB279	A06	
L01-1031.c1	L01-1031	CB279	D03	
N02-1023.c1	N02-1023	CB279	D04	
Q01-1043.c1	Q01-1043	CB279	C06	
Q01-1042.c1	Q01-1042	CB279	B06	
C01-1359.c1	C01-1359	CB279	A01	
N03-1009.c1	N03-1009	CB279	A05	
F01-1026.c1	F01-1026	CB279	C02	
D01-1039.c1	D01-1039	CB279	B02	
K01-1018.c1	K01-1018	CB279	C03	
J01-1043.c1	J01-1043	CB279	B03	
C01-1362.c1	C01-1362	CB279	D01	
N02-0602.c1	N02-0602	CB279	C04	
M03-1035.c1	M03-1035	CB279	B04	
P01-1028.c1	P01-1028	CB279	D05	
F01-1027.c1	F01-1027	CB279	D02	
H01-1049.c1	H01-1049	CB279	A03	
U01-1012.c1	U01-1012	CB279	D06	
L01-1032.c1	L01-1032	CB279	A04	
T01-1011.c1	T01-1011	CB278	A05	
C01-1354.c1	C01-1354	CB278	B02	
C01-1355.c1	C01-1355	CB278	C02	
C01-1349.c1	C01-1349	CB278	A01	
C01-1351.c1	C01-1351	CB278	C01	
C01-1350.c1	C01-1350	CB278	B01	
G01-1026.c1	G01-1026	CB278	D03	
R02-1041.c1	R02-1041	CB278	D04	
T01-1012.c1	T01-1012	CB278	B05	
U01-1011.c1	U01-1011	CB278	C05	
C01-1353.c1	C01-1353	CB278	A02	
C01-1357.c1	C01-1357	CB278	A03	
H01-1048.c1	H01-1048	CB278	A04	
C01-1356.c1	C01-1356	CB278	D02	
C01-1358.c1	C01-1358	CB278	B03	
D01-1038.c1	D01-1038	CB278	C03	
C01-1352.c1	C01-1352	CB278	D01	
J01-1042.c1	J01-1042	CB278	B04	
K01-0487.c1	K01-0487	CB278	C04	
