Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
A02-0088	WVU Morgantown	HonorsSummit-01 (MUB)	Sample	Monongalia	Sample	Composite	EL	09/08/2021 09:45 AM	09/08/2021	09/06/2021 08:38 AM	09/08/2021 08:38 AM	JL	9/9/21		7.21			Pass	SARS-CoV-2 N1	125459.3676	SARS-CoV-2 N2	34484.016		Rejected: No Flow	Complete
A02-0357	WVU Morgantown	CollegePark-02	A02-0357	Monongalia	Sample	Composite	GZ	02/18/2022 11:06 AM	02/18/2022	02/16/2022 09:00 AM	02/18/2022 09:00 AM	AJ			6.88			Pass						Processing	Processing
L01-0065	WWTP	WestUnionWWTP-01	L01-0065	Doddridge	Sample	Composite		03/21/2022 09:00 AM	03/23/2022	03/20/2022 09:00 AM	03/21/2022 09:00 AM	JL	3/29/22	NO FLOW DATA -JL	6.93			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	5959.301284		Processing	Complete
A01-0252	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite		05/14/2022 12:00 AM	05/17/2022	05/13/2022 12:00 AM	05/14/2022 12:00 AM	AJ	2022-05-18					Fail: Missing Required Data	SARS-CoV-2 N1	345614.100694656	SARS-CoV-2 N2	290491.186380386	8.2	Processing	Complete
A02-0265	WVU Morgantown	Evansdale-01	Sample	Monongalia	Sample	Composite	GZ	12/15/2021 09:10 AM	12/15/2021	12/13/2021 09:00 AM	12/15/2021 09:00 AM	AJ	12/21/21		7.47			Pass	SARS-CoV-2 N1	22410.31241	SARS-CoV-2 N2	33619.96282		Processing	Complete
A0249	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite	GS	11/11/2020 12:00 AM	11/13/2020	11/11/2020 12:00 AM	11/11/2020 11:59 PM	TD	11/17/20					Pass	SARS-CoV-2 N1	151837.2	SARS-CoV-2 N2	132824.4	6.79	Rejected: No NTC	Complete
B01-0099	WWTP	CharlestonWWTP-01	B01-0099	Kanawha	Sample	Composite		02/17/2022 07:00 AM	02/18/2022	02/16/2022 07:00 AM	02/17/2022 07:00 AM	AJ	2/22/22		6.53			Pass	SARS-CoV-2 N1	260701.3321	SARS-CoV-2 N2	282963.7465	7.932	Processing	Complete
O01-0017	WWTP	GraftonWWTP-01	O01-0017	Taylor	Sample	Composite		04/04/2022 06:15 AM	04/06/2022	04/01/2022 08:10 AM	04/02/2022 08:10 AM	AJ	4/7/22		6.63			Pass	SARS-CoV-2 N1	11301.54122	SARS-CoV-2 N2	5650.389455	1.99	Processing	Complete
M03-0032	WWTP	ManningtonWWTP-01	M03-0032	Marion	Sample	Composite		04/05/2022 10:36 AM	04/06/2022	04/04/2022 11:30 AM	04/05/2022 10:36 AM	AJ	4/7/22		6.68			Pass	SARS-CoV-2 N1	5234.063594	SARS-CoV-2 N2	2616.950045	0.169	Processing	Complete
F01-0021	WWTP	WestonWWTP-01	Sample	Lewis	Sample	Composite	--		09/27/2021			JL	9/29/21	NO METADATA	6.87			Fail: Missing Required Data	SARS-CoV-2 N1	125463.2789	SARS-CoV-2 N2	23849.27586		Rejected	Rejected
G01-0106	WWTP	KeyserWWTP-01	G01-0106	Mineral	Sample	Composite		04/06/2022 08:30 AM	04/07/2022	04/05/2022 08:00 AM	04/06/2022 08:00 AM	AJ	4/11/22		6.99			Pass	SARS-CoV-2 N1	5759.879658	SARS-CoV-2 N2	5759.879658	2.458	Processing	Complete
L01-0113	WWTP	WestUnionWWTP-01	Sample	Doddridge	Sample	Composite		05/04/2022 09:00 AM	05/11/2022	05/03/2022 09:00 AM	05/04/2022 09:00 AM	AJ	5/11/22					Pass	SARS-CoV-2 N1	118049.2191	SARS-CoV-2 N2	103635.1521	0.295	Processing	Complete
A03-0091	K-12	MountainviewES-01	A03-0091	Monongalia	Sample	Composite	GZ	02/24/2022 12:08 PM	02/28/2022	02/23/2022 06:00 AM	02/23/2022 02:00 PM	AJ	2/28/22		7.71			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Complete
H01-0010	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite	DRC	10/08/2021 08:15 AM	10/15/2021	10/07/2021 08:00 AM	10/08/2021 08:00 AM	JL	10/20/21		7.07			Pass	SARS-CoV-2 N1	19990.86283	SARS-CoV-2 N2	19990.86283		Rejected: No Flow	Complete
