concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1517.c1	A01-1517	CB225	D01	
C01-1199.c1	C01-1199	CB225	B03	
H01-1023.c1	H01-1023	CB225	B04	
C01-1198.c1	C01-1198	CB225	A03	
G01-1004.c1	G01-1004	CB225	A04	
C01-1197.c1	C01-1197	CB225	D02	
W01-1004.c1	W01-1004	CB225	D06	
K01-0493.c1	K01-0493	CB225	C06	
C01-1196.c1	C01-1196	CB225	C02	
A01-1516.c1	A01-1516	CB225	C01	
P01-1011.c1	P01-1011	CB225	A05	
M04-0430.c1	M04-0430	CB225	B05	
O01-1004.c1	O01-1004	CB225	C04	
T01-0322.c1	T01-0322	CB225	C03	
N02-0574.c1	N02-0574	CB225	D05	
M04-1001.c1	M04-1001	CB225	D04	
A01-1515.c1	A01-1515	CB225	B01	
R02-1017.c1	R02-1017	CB225	D03	
A01-1514.c1	A01-1514	CB225	A01	
L01-1009.c1	L01-1009	CB225	C05	
F01-1007.c1	F01-1007	CB225	B06	
C01-1195.c1	C01-1195	CB225	B02	
D01-1015.c1	D01-1015	CB225	A06	
A01-1518.c1	A01-1518	CB225	A02	
U01-1006.c1	U01-1006	CB226	A01	
A04-0591.c1	A04-0591	CB226	C01	
A04-0590.c1	A04-0590	CB226	B01	
