sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
AB158,9656f6e2-7e39-4698-afe8-6bafacf96629,Nanoplate 8.5K 96-well,A1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8276,0,8276,74.49,2.498,-,-,-,-,-,Std-Ref,-,-,0.0,0.29353701527614573,2.429312338425382,0.0,36.98094369260509,0.00,0.0,0.0,9.87
,,,A2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,7501,0,7501,74.49,2.483,-,-,-,-,-,Std-Ref,-,-,0.0,0.29177438307873094,2.1885996474735605,0.0,38.66819090787915,0.01,0.0,0.0,11.85
,,,A3,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8307,0,8307,74.49,2.438,-,-,-,-,-,Std-Ref,-,-,0.0,0.28648648648648656,2.3798432432432435,0.0,34.33945708438686,0.00,0.0,0.0,9.51
,,,A4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8246,0,8246,74.49,2.407,-,-,-,-,-,Std-Ref,-,-,0.0,0.2828437132784959,2.332329259694477,0.0,29.343071792384134,0.00,0.0,0.0,7.32
,,,A5,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8264,0,8264,74.49,2.406,-,-,-,-,-,Std-Ref,-,-,0.0,0.2827262044653349,2.3364493537015276,0.0,27.092872700871265,0.00,0.0,0.0,6.9
,,,A6,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8161,0,8161,74.49,2.317,-,-,-,-,-,Std-Ref,-,-,0.0,0.2722679200940071,2.2219784958871918,0.0,33.43190417840952,0.00,0.0,0.0,8.83
,,,A7,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8245,0,8245,74.49,2.376,-,-,-,-,-,Std-Ref,-,-,0.0,0.2792009400705053,2.302011750881316,0.0,34.13403274711947,0.00,0.0,0.0,9.24
,,,A8,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8288,0,8288,74.49,2.368,-,-,-,-,-,Std-Ref,-,-,0.0,0.27826086956521734,2.3062260869565216,0.0,31.99324565637061,0.04,0.0,0.0,9.32
,,,A9,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8261,0,8261,74.49,2.375,-,-,-,-,-,Std-Ref,-,-,0.0,0.2790834312573443,2.3055082256169213,0.0,36.11263769519448,0.02,0.0,0.0,8.64
,,,A10,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8281,0,8281,74.49,2.394,-,-,-,-,-,Std-Ref,-,-,0.0,0.2813160987074031,2.329578613396005,0.0,33.22552831783605,0.00,0.0,0.0,7.87
,,,A11,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8280,0,8280,74.49,2.399,-,-,-,-,-,Std-Ref,-,-,0.0,0.281903642773208,2.334162162162162,0.0,31.526285024154724,0.00,0.0,0.0,10.75
,,,A12,-,-,-,MeV,MeV,-,-,40.05151909668211,-,0.20659982115970893,-,-,8003,90,7913,74.49,2.403,-,-,-,-,-,Std-Ref,-,-,0.011309494757852773,0.28237367802585195,2.259836545240893,113.63333333333334,34.20688360925053,0.01,5.762020572087121,17.85,9.34
,,,B1,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8243,0,8243,74.49,2.479,-,-,-,-,-,Std-Ref,-,-,0.0,0.291304347826087,2.401221739130435,0.0,49.15155040640556,0.00,0.0,0.0,14.02
,,,B2,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8298,0,8298,74.49,2.447,-,-,-,-,-,Std-Ref,-,-,0.0,0.28754406580493536,2.3860406580493536,0.0,33.759613159797546,0.00,0.0,0.0,8.79
,,,B3,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,3559,0,3559,74.49,2.43,-,-,-,-,-,Std-Ref,-,-,0.0,0.2855464159811986,1.0162596944770859,0.0,57.05943523461647,0.00,0.0,0.0,14.02
,,,B4,-,-,-,MeV,MeV,-,-,0.0,-,-,-,-,8284,0,8284,74.49,2.381,-,-,-,-,-,Std-Ref,-,-,0.0,0.2797884841363102,2.3177678025851938,0.0,23.511937469821422,0.00,0.0,0.0,7.2
