sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
AB163,89af488f-b32b-404b-bea2-f3468fac8432,Nanoplate 8.5K 96-well,G9,-,-,-,Respiratory 5plex,FluA,-,-,68.36582195269092,-,0.15258603384830605,-,-,8295,165,8130,47.07,2.501,-,-,-,-,-,Std-Ref,-,-,0.0200920000826886,0.29388954171562864,2.4378137485311395,92.95563636363639,14.105060270602648,0.14,5.474513220104455,22.95,5.2
,,,G9,-,-,-,Respiratory 5plex,BRSV,-,-,50.416510304923186,-,0.17744883369221812,-,-,8295,122,8173,17.49,2.501,-,-,-,-,-,Std-Ref,-,-,0.014816885108415145,0.29388954171562864,2.4378137485311395,43.08188524590162,12.365821607732753,0.02,4.187128314862595,11.47,3.96
,,,G9,-,-,-,Respiratory 5plex,FluB,-,-,42.93086795565898,-,0.1921919323305637,-,-,8295,104,8191,32.86,2.501,-,-,-,-,-,Std-Ref,-,-,0.012616933108942786,0.29388954171562864,2.4378137485311395,65.12076923076923,9.727703577096811,0.39,6.076287951481302,14.03,4.35
,,,G9,-,-,-,Respiratory 5plex,SC2,-,-,43.761793220941385,-,0.19037022335821277,-,-,8295,106,8189,26.87,2.501,-,-,-,-,-,Std-Ref,-,-,0.012861133354356569,0.29388954171562864,2.4378137485311395,56.210377358490575,5.225187446574663,0.11,3.4325374710231484,25.35,3.39
,,,G9,-,-,-,Respiratory 5plex,RSV,-,-,39.60919453074952,-,0.20003947756341178,-,-,8295,96,8199,40.46,2.501,-,-,-,-,-,Std-Ref,-,-,0.01164072802836716,0.29388954171562864,2.4378137485311395,51.60302083333334,26.060050006098308,0.17,2.9768671909666473,9.08,8.86
,,,H9,-,NTC,NON_TEMPLATE_CONTROL,Respiratory 5plex,FluA,-,-,0.0,-,-,-,-,8266,0,8266,47.07,2.655,-,-,-,-,-,Std-Ref,-,-,0.0,0.3119858989424206,2.578875440658049,0.0,13.43942656665856,0.16,0.0,0.0,4.22
,,,H9,-,NTC,NON_TEMPLATE_CONTROL,Respiratory 5plex,BRSV,-,-,0.0,-,-,-,-,8266,0,8266,17.49,2.655,-,-,-,-,-,Std-Ref,-,-,0.0,0.3119858989424206,2.578875440658049,0.0,11.767178804742313,0.01,0.0,0.0,2.78
,,,H9,-,NTC,NON_TEMPLATE_CONTROL,Respiratory 5plex,FluB,-,-,0.3877893743377154,-,1.4750985004422679,-,-,8266,1,8265,32.86,2.655,-,-,-,-,-,Std-Ref,-,-,1.20984816553071E-4,0.3119858989424206,2.578875440658049,60.3,8.605501512401728,0.12,0.0,0.0,3.46
,,,H9,-,NTC,NON_TEMPLATE_CONTROL,Respiratory 5plex,SC2,-,-,0.0,-,-,-,-,8266,0,8266,26.87,2.655,-,-,-,-,-,Std-Ref,-,-,0.0,0.3119858989424206,2.578875440658049,0.0,4.709576578756359,0.05,0.0,0.0,1.52
,,,H9,-,NTC,NON_TEMPLATE_CONTROL,Respiratory 5plex,RSV,-,-,0.0,-,-,-,-,8266,0,8266,40.46,2.655,-,-,-,-,-,Std-Ref,-,-,0.0,0.3119858989424206,2.578875440658049,0.0,25.47582748608758,0.01,0.0,0.0,5.73
