sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
AB160,73ae96bf-18dd-4acb-b0b6-76b59abfb87c,Nanoplate 8.5K 96-well,A7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,8278,0,8278,42.99,2.376,-,-,-,-,-,Std-Ref,-,-,0.0,0.2792009400705053,2.311225381903643,0.0,16.571181444793414,0.76,0.0,0.0,7.2
,,,A7,-,-,-,Noro,Noro II,-,-,0.43269705055948704,-,1.4750983315116533,-,-,8278,1,8277,42.43,2.376,-,-,-,-,-,Std-Ref,-,-,1.2080942328194373E-4,0.2792009400705053,2.311225381903643,43.21,11.034540292376434,0.13,0.0,0.0,4.81
,,,B7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,8293,0,8293,42.99,2.272,-,-,-,-,-,Std-Ref,-,-,0.0,0.2669800235017626,2.214065334900117,0.0,13.900419631014069,0.17,0.0,0.0,5.0
,,,B7,-,-,-,Noro,Noro II,-,-,0.0,-,-,-,-,8293,0,8293,42.43,2.272,-,-,-,-,-,Std-Ref,-,-,0.0,0.2669800235017626,2.214065334900117,0.0,8.30732424936696,0.02,0.0,0.0,4.06
,,,C7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,8301,0,8301,42.99,2.239,-,-,-,-,-,Std-Ref,-,-,0.0,0.2631022326674501,2.184011633372503,0.0,14.391592579207312,0.88,0.0,0.0,6.44
,,,C7,-,-,-,Noro,Noro II,-,-,0.45790060055700826,-,1.4750980090931745,-,-,8301,1,8300,42.43,2.239,-,-,-,-,-,Std-Ref,-,-,1.204746703463151E-4,0.2631022326674501,2.184011633372503,82.29,9.619392771084339,0.07,0.0,0.0,4.32
,,,D7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,6897,0,6897,42.99,2.24,-,-,-,-,-,Std-Ref,-,-,0.0,0.2632197414806111,1.8154265569917747,0.0,16.153658112222743,0.09,0.0,0.0,5.15
,,,D7,-,-,-,Noro,Noro II,-,-,0.0,-,-,-,-,6897,0,6897,42.43,2.24,-,-,-,-,-,Std-Ref,-,-,0.0,0.2632197414806111,1.8154265569917747,0.0,10.798321009134403,0.00,0.0,0.0,4.4
,,,E7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,8249,0,8249,42.99,2.218,-,-,-,-,-,Std-Ref,-,-,0.0,0.2606345475910693,2.149974383078731,0.0,17.647597284519357,0.05,0.0,0.0,6.62
,,,E7,-,-,-,Noro,Noro II,-,-,0.0,-,-,-,-,8249,0,8249,42.43,2.218,-,-,-,-,-,Std-Ref,-,-,0.0,0.2606345475910693,2.149974383078731,0.0,12.153274336283207,0.01,0.0,0.0,3.74
,,,F7,-,-,-,Noro,Noro I,-,-,0.46125938828980534,-,1.4750985992114376,-,-,8259,1,8258,42.99,2.234,-,-,-,-,-,Std-Ref,-,-,1.2108736468148358E-4,0.2625146886016452,2.168108813160987,43.63,18.398600145313644,1.09,0.0,0.0,6.99
,,,F7,-,-,-,Noro,Noro II,-,-,0.46125938828980534,-,1.4750985992114376,-,-,8259,1,8258,42.43,2.234,-,-,-,-,-,Std-Ref,-,-,1.2108736468148358E-4,0.2625146886016452,2.168108813160987,126.1,13.140113829014298,0.02,0.0,0.0,5.13
,,,G7,-,-,-,Noro,Noro I,-,-,0.0,-,-,-,-,8266,0,8266,42.99,2.328,-,-,-,-,-,Std-Ref,-,-,0.0,0.2735605170387779,2.261251233842538,0.0,16.796016210984824,0.21,0.0,0.0,8.23
