sep=,
Plate name,Plate ID,Plate type,Well,Sample ID,Sample/NTC/Control,Type,Reaction Mix,Target (Name),Target (IC),Target (Control),Conc. [cp/µL] (dPCR reaction),Conc. [-] (dPCR reaction),CI (95%) (dPCR reaction),Conc. [cp/µL] (undiluted sample),Conc. [-] (undiluted sample),Partitions (Valid),Partitions (Positive),Partitions (Negative),Threshold,Volume per well [µl],Concentration factor,Template volume [µl],Total volume [µl],Conversion factor,Conversion unit,REF,CXT matrix RM template name,CXT matrix RM template ID,Lambda,Actual cycled vol/partition [nL],Actual cycled vol/well [µL],Mean RFU positives,Mean RFU negatives,Rain [%],Resolution,Positives bandwidth,Negatives bandwidth
,,,B11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8275,0,8275,48.59,2.371,-,-,-,-,-,Std-Ref,-,-,0.0,0.27861339600470036,2.3055258519388957,0.0,22.475046525679797,0.06,0.0,0.0,6.34
,,,B12,-,NTC,NON_TEMPLATE_CONTROL,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8274,0,8274,48.59,2.399,-,-,-,-,-,Std-Ref,-,-,0.0,0.281903642773208,2.332470740305523,0.0,24.66323181049067,0.02,0.0,0.0,6.0
,,,C1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8291,0,8291,48.59,2.423,-,-,-,-,-,Std-Ref,-,-,0.0,0.2847238542890717,2.3606454759106934,0.0,21.98933059944523,0.04,0.0,0.0,6.28
,,,C2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8265,0,8265,48.59,2.404,-,-,-,-,-,Std-Ref,-,-,0.0,0.2824911868390129,2.3347896592244415,0.0,22.186759830611134,0.04,0.0,0.0,6.2
,,,C3,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8294,0,8294,48.59,2.372,-,-,-,-,-,Std-Ref,-,-,0.0,0.27873090481786134,2.311794124559342,0.0,22.16710513624314,0.02,0.0,0.0,6.16
,,,C4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8255,0,8255,48.59,2.321,-,-,-,-,-,Std-Ref,-,-,0.0,0.272737955346651,2.2514518213866044,0.0,21.575646274984766,0.06,0.0,0.0,6.66
,,,C5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8295,0,8295,48.59,2.279,-,-,-,-,-,Std-Ref,-,-,0.0,0.26780258519388955,2.2214224441833137,0.0,26.33536467751664,0.01,0.0,0.0,6.94
,,,C6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8249,0,8249,48.59,2.242,-,-,-,-,-,Std-Ref,-,-,0.0,0.263454759106933,2.1732383078730906,0.0,22.33718511334705,0.05,0.0,0.0,6.45
,,,C7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8289,0,8289,48.59,2.239,-,-,-,-,-,Std-Ref,-,-,0.0,0.2631022326674501,2.1808544065804933,0.0,22.31407286765595,0.02,0.0,0.0,6.57
,,,C8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8300,0,8300,48.59,2.223,-,-,-,-,-,Std-Ref,-,-,0.0,0.2612220916568742,2.168143360752056,0.0,22.27067228915659,0.04,0.0,0.0,6.39
,,,C9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8259,0,8259,48.59,2.268,-,-,-,-,-,Std-Ref,-,-,0.0,0.26650998824911865,2.201105992949471,0.0,22.5018610001212,0.01,0.0,0.0,5.94
,,,C10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8152,0,8152,48.59,2.334,-,-,-,-,-,Std-Ref,-,-,0.0,0.27426556991774387,2.235812925969448,0.0,22.452292688910674,0.02,0.0,0.0,6.78
,,,C11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8276,0,8276,48.59,2.365,-,-,-,-,-,Std-Ref,-,-,0.0,0.2779083431257345,2.2999694477085786,0.0,27.368000241662784,0.05,0.0,0.0,7.01
,,,D1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8282,0,8282,48.59,2.481,-,-,-,-,-,Std-Ref,-,-,0.0,0.2915393654524089,2.4145290246768503,0.0,21.814317797633382,0.01,0.0,0.0,7.24
,,,D2,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8263,0,8263,48.59,2.407,-,-,-,-,-,Std-Ref,-,-,0.0,0.2828437132784959,2.3371376028202118,0.0,22.9343495098632,0.00,0.0,0.0,6.83
,,,D3,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8267,0,8267,48.59,2.328,-,-,-,-,-,Std-Ref,-,-,0.0,0.2735605170387779,2.261524794359577,0.0,24.036198137171876,0.01,0.0,0.0,7.99
,,,D4,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8265,0,8265,48.59,2.298,-,-,-,-,-,Std-Ref,-,-,0.0,0.2700352526439483,2.231841363102233,0.0,21.628534785238948,0.06,0.0,0.0,6.67
,,,D5,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8261,0,8261,48.59,2.244,-,-,-,-,-,Std-Ref,-,-,0.0,0.26368977673325505,2.17834124559342,0.0,21.775782592906435,0.04,0.0,0.0,6.33
,,,D6,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8269,0,8269,48.59,2.209,-,-,-,-,-,Std-Ref,-,-,0.0,0.25957696827262045,2.146441950646299,0.0,23.039036159148544,0.00,0.0,0.0,7.04
,,,D7,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8274,0,8274,48.59,2.24,-,-,-,-,-,Std-Ref,-,-,0.0,0.2632197414806111,2.177880141010576,0.0,22.048295866569955,0.00,0.0,0.0,5.73
,,,D8,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8280,0,8280,48.59,2.249,-,-,-,-,-,Std-Ref,-,-,0.0,0.26427732079905997,2.188216216216216,0.0,22.999338164251196,0.06,0.0,0.0,6.43
,,,D9,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8252,0,8252,48.59,2.273,-,-,-,-,-,Std-Ref,-,-,0.0,0.2670975323149236,2.20408883666275,0.0,23.861289384391664,0.04,0.0,0.0,6.87
,,,D10,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8264,0,8264,48.59,2.305,-,-,-,-,-,Std-Ref,-,-,0.0,0.27085781433607525,2.2383689776733258,0.0,25.00979791868327,0.00,0.0,0.0,6.68
,,,D11,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8299,0,8299,48.59,2.33,-,-,-,-,-,Std-Ref,-,-,0.0,0.2737955346650999,2.2722291421856644,0.0,25.241667670803693,0.05,0.0,0.0,6.46
,,,E1,-,-,-,Pertussis,Pertussis,-,-,0.0,-,-,-,-,8257,0,8257,48.59,2.456,-,-,-,-,-,Std-Ref,-,-,0.0,0.28860164512338427,2.382983783783784,0.0,23.60848249969731,0.02,0.0,0.0,7.38
