concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1087.c1	A01-1087	CB100	A02	
N02-0526.c1	N02-0526	CB100	D05	
A01-1091.c1	A01-1091	CB100	A06	
L01-0614.c1	L01-0614	CB100	D03	
A01-1086.c1	A01-1086	CB100	A01	
G01-0610.c1	G01-0610	CB100	C04	
E01-0670.c1	E01-0670	CB100	C01	
A01-1089.c1	A01-1089	CB100	A04	
J01-0507.c1	J01-0507	CB100	C06	
C01-0800.c1	C01-0800	CB100	B05	
E01-0669.c1	E01-0669	CB100	C02	
C01-0798.c1	C01-0798	CB100	B03	
C01-0799.c1	C01-0799	CB100	B04	
M04-0376.c1	M04-0376	CB100	D01	
M03-0494.c1	M03-0494	CB100	D02	
A01-1088.c1	A01-1088	CB100	A03	
N03-0553.c1	N03-0553	CB100	D06	
A01-1090.c1	A01-1090	CB100	A05	
D01-0557.c1	D01-0557	CB100	C05	
A04-0602.c1	A04-0602	CB100	C03	
C01-0797.c1	C01-0797	CB100	B02	
E01-0668.c1	E01-0668	CB100	B06	
M04-0377.c1	M04-0377	CB100	D04	
C01-0796.c1	C01-0796	CB100	B01	
P01-0166.c1	P01-0166	CB101	A06	
K01-0511.c1	K01-0511	CB101	A04	
H01-0957.c1	H01-0957	CB101	A02	
R02-0511.c1	R02-0511	CB101	A05	
U01-0135.c1	U01-0135	CB101	A01	
O01-0222.c1	O01-0222	CB101	B01	
Q01-0585.c1	Q01-0585	CB101	A03	
