concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
M02-0439.c1	M02-0439	CB3	D03	
N03-0440.c1	N03-0440	CB3	D04	
M03-0319.c1	M03-0319	CB3	D01	
P01-0083.c1	P01-0083	CB3	D06	
M04-0219.c1	M04-0219	CB3	D02	
A01-0742.c1	A01-0742	CB3	A05	
K01-0356.c1	K01-0356	CB3	B02	
E01-0384.c1	E01-0384	CB3	B06	
A04-0521.c1	A04-0521	CB3	B01	
H01-0740.c1	H01-0740	CB3	C05	
K01-0363.c1	K01-0363	CB3	B04	
K01-0362.c1	K01-0362	CB3	B03	
E01-0385.c1	E01-0385	CB3	C01	
K01-0366.c1	K01-0366	CB3	B05	
D01-0255.c1	D01-0255	CB3	C04	
E01-0387.c1	E01-0387	CB3	C03	
E01-0386.c1	E01-0386	CB3	C02	
L01-0542.c1	L01-0542	CB3	C06	
A01-0741.c1	A01-0741	CB3	A04	
A01-0740.c1	A01-0740	CB3	A03	
A01-0734.c1	A01-0734	CB3	A01	
A01-0743.c1	A01-0743	CB3	A06	
A01-0735.c1	A01-0735	CB3	A02	
O01-0477.c1	O01-0477	CB3	D05	
T01-0244.c1	T01-0244	CB4	A02	
C01-0548.c1	C01-0548	CB4	B03	
C01-0549.c1	C01-0549	CB4	B04	
C01-0546.c1	C01-0546	CB4	B01	
C01-P5.c1	C01-P5	CB4	C05	
J01-0386.c1	J01-0386	CB4	A06	
A02-1312.c1	A02-1312	CB4	A01	
C01-P6.c1	C01-P6	CB4	B06	
C01-0547.c1	C01-0547	CB4	B02	
G01-0530.c1	G01-0530	CB4	A04	
H01-0741.c1	H01-0741	CB4	A03	
R02-0379.c1	R02-0379	CB4	A05	
C01-P2.c1	C01-P2	CB4	C02	
C01-P4.c1	C01-P4	CB4	C04	
C01-P3.c1	C01-P3	CB4	C03	
C01-P1.c1	C01-P1	CB4	C01	
C01-0550.c1	C01-0550	CB4	B05	
C01-0543.c1	C01-0543	CB2	A01	
C01-0544.c1	C01-0544	CB2	A02	
C01-0545.c1	C01-0545	CB2	A03	
A01-0728.c1	A01-0728	CB1	A01	
A01-0731.c1	A01-0731	CB1	A04	
A01-0730.c1	A01-0730	CB1	A03	
C01-0541.c1	C01-0541	CB1	D05	
A01-0729.c1	A01-0729	CB1	A02	
A01-0733.c1	A01-0733	CB1	A06	
O01-0463.c1	O01-0463	CB1	C04	
L01-0534.c1	L01-0534	CB1	C03	
P01-0088.c1	P01-0088	CB1	C01	
R02-0422.c1	R02-0422	CB1	B05	
N03-0437.c1	N03-0437	CB1	C06	
N02-0375.c1	N02-0375	CB1	C02	
M03-0311.c1	M03-0311	CB1	B06	
G01-0548.c1	G01-0548	CB1	B02	
H01-0739.c1	H01-0739	CB1	B03	
D01-0271.c1	D01-0271	CB1	B04	
A04-0525.c1	A04-0525	CB1	B01	
M04-0211.c1	M04-0211	CB1	C05	
G01-0540.c1	G01-0540	CB1	D01	
Q01-0481.c1	Q01-0481	CB1	D03	
J01-0385.c1	J01-0385	CB1	D04	
A01-0732.c1	A01-0732	CB1	A05	
R02-0418.c1	R02-0418	CB1	D02	
C01-0542.c1	C01-0542	CB1	D06	
