concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A02-1386.c1	A02-1386	CB181	A01	
A02-1389.c1	A02-1389	CB181	D01	
A02-1388.c1	A02-1388	CB181	C01	
A02-1387.c1	A02-1387	CB181	B01	
A01-1354.c1	A01-1354	CB180	A05	
O01-0321.c1	O01-0321	CB180	D03	
U01-0156.c1	U01-0156	CB180	D06	
A01-1351.c1	A01-1351	CB180	A02	
F01-0136.c1	F01-0136	CB180	B06	
A01-1350.c1	A01-1350	CB180	A01	
C01-0988.c1	C01-0988	CB180	B03	
C01-0989.c1	C01-0989	CB180	B04	
A04-0687.c1	A04-0687	CB180	C05	
M04-0423.c1	M04-0423	CB180	C01	
H01-0999.c1	H01-0999	CB180	C02	
M03-0536.c1	M03-0536	CB180	D04	
A01-1353.c1	A01-1353	CB180	A04	
N02-0607.c1	N02-0607	CB180	C06	
L01-0648.c1	L01-0648	CB180	C03	
J01-0551.c1	J01-0551	CB180	D01	
Q01-0631.c1	Q01-0631	CB180	D02	
K01-0559.c1	K01-0559	CB180	C04	
C01-0990.c1	C01-0990	CB180	B05	
A01-1355.c1	A01-1355	CB180	A06	
C01-0986.c1	C01-0986	CB180	B01	
A01-1352.c1	A01-1352	CB180	A03	
R02-0550.c1	R02-0550	CB180	D05	
C01-0987.c1	C01-0987	CB180	B02	
