sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
A01-0003	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/11/2021 0:00	08/11/2021 23:55	08/11/2021 23:55	GG	10.042	JL	08/13/2021	6.87	
A01-0004	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/12/2021 0:00	08/12/2021 23:55	08/12/2021 23:55	GG	8.144	JL	08/13/2021	6.95	
A01-0005	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/14/2021 0:00	08/14/2021 23:55	08/14/2021 23:55	GG	9.531	JL	08/18/2021	6.85	
A01-0006	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/15/2021 0:00	08/15/2021 23:55	08/15/2021 23:55	GG	8.629	JL	08/18/2021	6.82	
A01-0007	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/16/2021 0:00	08/16/2021 23:55	08/16/2021 23:55	GG	10.086	JL	08/18/2021	6.86	
A01-0008	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/17/2021 0:00	08/17/2021 23:55	08/17/2021 23:55	JL	11.614	JL	08/18/2021	6.97	
A01-0009	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/18/2021 12:01	08/18/2021 11:59	08/18/2021 11:59	GG	11.837	Jl	08/20/2021	6.97	
A01-0010	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/19/2021 0:01	08/19/2021 23:59	08/19/2021 23:59	GG	11.28	Jl	08/20/2021	6.99	
A01-0011	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/21/2021 0:00	08/21/2021 23:59	08/21/2021 23:59	GG	10.554	JL	08/24/2021	7.23	
A01-0012	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/22/2021 0:00	08/22/2021 23:59	08/22/2021 23:59	GG	9.615	JL	08/24/2021	7.06	
A01-0013	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/23/2021 0:00	08/23/2021 23:59	08/23/2021 23:59	JL	9.509	JL	08/24/2021	6.99	
A01-0014	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/24/2021 0:00	08/24/2021 23:55	08/24/2021 23:55	GG	9.811	JL	08/27/2021	7.16	
A01-0015	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/25/2021 0:00	08/25/2021 23:55	08/25/2021 23:55	GG	8.915	JL	08/27/2021	7.01	
A01-0016	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/26/2021 0:00	08/26/2021 23:55	08/26/2021 23:55	GG	8.963	JL	08/27/2021	6.97	
A01-0017	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/29/2021 0:00	08/29/2021 23:55	08/29/2021 23:55	JT	9.281	JL	09/01/2021	6.91	
A01-0018	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/30/2021 0:00	08/30/2021 23:55	08/30/2021 23:55	JT	10.394	JL	09/01/2021	6.89	
A01-0019	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0020	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0021	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0022	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0023	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0024	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0025	Rejected	StarCityWWTP-01	Routine Surveillance	Fail: Missing Required Data									
A01-0026	Complete	StarCityWWTP-01	Routine Surveillance	Pass	08/31/2021 0:00	08/31/2021 23:55	08/31/2021 23:55	DW	10.024	JL	09/03/2021	6.42	
A01-0027	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/04/2021 0:00	09/04/2021 23:55	09/04/2021 23:55	DW	9.983	JL	09/07/2021	6.38	
A01-0028	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/05/2021 0:00	09/05/2021 23:55	09/05/2021 23:55	DW	10.388	JL	09/07/2021	6.6	
A01-0029	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/07/2021 0:00	09/07/2021 23:55	09/07/2021 23:55	GG	9.116	JL	09/13/2021	6.75	
A01-0030	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/08/2021 0:00	09/08/2021 23:55	09/08/2021 23:55	GG	8.923	JL	09/13/2021	6.76	
A01-0031	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/06/2021 0:00	09/06/2021 23:55	09/06/2021 23:55	GG	9.768	JL	09/07/2021	6.56	
A01-0032	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/09/2021 0:00	09/09/2021 23:55	09/09/2021 23:55	JL	9.799	JL	09/13/2021	6.83	
A01-0033	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/11/2021 0:00	09/11/2021 23:55	09/11/2021 23:55	GG	8.33	JL	09/15/2021	6.74	
A01-0034	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/12/2021 0:00	09/12/2021 23:55	09/12/2021 23:55	GG	8.154	JL	09/15/2021	6.73	
A01-0035	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/13/2021 0:00	09/13/2021 23:55	09/13/2021 23:55	GG	8.156	JL	09/15/2021	6.87	
A01-0036	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/01/2021 0:00	09/01/2021 23:55	09/01/2021 23:55	DW	12.161	JL	09/01/2021	6.53	
A01-0037	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/14/2021 0:00	09/14/2021 23:55	09/14/2021 23:55	GG	7.905	JL	09/17/2021	6.74	
A01-0038	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/15/2021 0:00	09/15/2021 23:55	09/15/2021 23:55	GG	7.723	JL	09/15/2021	6.78	
A01-0039	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/16/2021 0:00	09/16/2021 23:55	09/16/2021 23:55	GG	7.767	JL	09/17/2021	6.83	
A01-0040	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/19/2021 0:00	09/19/2021 23:55	09/19/2021 23:55	GG	7.236	JL	09/24/2021	6.55	
A01-0041	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/18/2021 0:00	09/18/2021 23:55	09/18/2021 23:55	GG	7.348	JL	09/24/2021	6.54	
A01-0042	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/20/2021 0:00	09/20/2021 23:55	09/20/2021 23:55	GG	7.36	JL	09/24/2021	6.57	
A01-0043	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/22/2021 0:00	09/22/2021 23:55	09/22/2021 23:55	GG	10.201	JL	09/24/2021	6.64	
A01-0044	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/23/2021 0:00	09/23/2021 23:55	09/23/2021 23:55	GG	9.101	JL	09/24/2021	6.56	
A01-0045	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/28/2021 0:00	09/28/2021 23:55	09/29/2021 13:05	JF	9.301	JL	10/01/2021		
A01-0046	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/02/2021 0:00	09/02/2021 23:55	09/02/2021 23:55	JT	11.413	JL	09/02/2021	6.74	
A01-0047	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/21/2021 0:00	09/21/2021 23:55	09/21/2021 23:55	DW	7.79	JL	09/24/2021	6.63	
A01-0048	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/25/2021 0:00	09/25/2021 23:55	09/27/2021 12:15	JF	6.684	jl	10/01/2021		
A01-0049	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/26/2021 0:00	09/26/2021 23:55	09/27/2021 12:20	JF	6.828	JL	10/01/2021		
A01-0050	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/27/2021 0:00	09/27/2021 23:55	09/28/2021 11:10	JF	7.004	JL	10/01/2021		
A01-0051	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/29/2021 0:00	09/29/2021 23:55	09/30/2021 9:30	JF	7.542	JL	10/01/2021	7.48	
A01-0052	Complete	StarCityWWTP-01	Routine Surveillance	Pass	09/30/2021 0:00	09/30/2021 23:55	10/01/2021 9:05	JF	7.101	JL	10/05/2021	7.44	
A01-0053	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/02/2021 0:00	10/02/2021 23:55	10/02/2021 23:55	GG	7.465	JL	10/05/2021	7.41	
A01-0054	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/03/2021 0:00	10/03/2021 23:55	10/03/2021 23:55	GG	8.385	JL	10/05/2021	7.38	
A01-0055	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/04/2021 0:00	10/04/2021 23:55	10/04/2021 23:55	GG	8.904	JL	10/05/2021	7.38	
A01-0056	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/05/2021 0:00	10/05/2021 23:55	10/05/2021 23:55	GG	7.802	JL	10/08/2021	7.16	
A01-0057	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/06/2021 0:00	10/06/2021 23:55	10/06/2021 23:55	GG	7.48	JL	10/08/2021	7.18	
A01-0058	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/07/2021 0:00	10/07/2021 23:55	10/07/2021 23:55	GG	7.245	JL	10/08/2021	7.22	
A01-0059	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/09/2021 0:00	10/09/2021 23:55	10/09/2021 23:55	GG	8.547	JL	10/13/2021	6.76	
A01-0060	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/10/2021 0:00	10/10/2021 23:55	10/10/2021 23:55	GG	7.441	JL	10/13/2021	6.89	
A01-0061	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/11/2021 0:00	10/11/2021 23:55	10/11/2021 23:55	GG	7.399	JL	10/13/2021	6.96	
A01-0062	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/13/2021 0:00	10/13/2021 23:55	10/13/2021 23:55	GG	6.883	JL	10/20/2021		
A01-0063	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/14/2021 0:00	10/14/2021 23:55	10/14/2021 23:55	GG	6.95	JL	10/20/2021		
A01-0064	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/16/2021 0:00	10/16/2021 23:55	10/16/2021 0:00	GG	11.183	JL	10/20/2021		
A01-0065	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/17/2021 0:00	10/17/2021 23:55	10/17/2021 23:55	GG	7.808	JL	10/20/2021		
A01-0066	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/18/2021 0:00	10/18/2021 23:55	10/18/2021 23:55	GG	7.491	JL	10/20/2021		
A01-0067	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/19/2021 0:00	10/19/2021 23:55	10/19/2021 23:55	GG	7.355	JL	10/25/2021	7.92	
A01-0068	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/20/2021 0:00	10/20/2021 23:55	10/20/2021 23:55	GG	7.189	JL	10/25/2021	7.36	
A01-0069	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/21/2021 0:00	10/21/2021 23:55	10/21/2021 23:55	GG	7.344	JL	10/25/2021	7.61	
A01-0070	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/23/2021 0:00	10/23/2021 23:55	10/23/2021 23:55	GG	9.596	JL	10/27/2021	6.84	
A01-0071	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/24/2021 0:00	10/24/2021 23:55	10/24/2021 23:55	GG	7.426	JL	10/27/2021	6.95	
A01-0072	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/25/2021 0:00	10/25/2021 23:55	10/25/2021 23:55	GG	7.97	JL	10/27/2021	7.05	
A01-0073	Complete	StarCityWWTP-01	Routine Surveillance	Pass	10/26/2021 0:00	10/26/2021 23:55	10/26/2021 23:55	GG	8.475	JL	10/29/2021	6.93	
