concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-0731.c1	A01-0731	CB1	A04	
A01-0729.c1	A01-0729	CB1	A02	
P01-0088.c1	P01-0088	CB1	C01	
C01-0541.c1	C01-0541	CB1	D05	
Q01-0481.c1	Q01-0481	CB1	D03	
M03-0311.c1	M03-0311	CB1	B06	
O01-0463.c1	O01-0463	CB1	C04	
C01-0542.c1	C01-0542	CB1	D06	
H01-0739.c1	H01-0739	CB1	B03	
R02-0422.c1	R02-0422	CB1	B05	
N02-0375.c1	N02-0375	CB1	C02	
A01-0728.c1	A01-0728	CB1	A01	
A01-0730.c1	A01-0730	CB1	A03	
A01-0732.c1	A01-0732	CB1	A05	
R02-0418.c1	R02-0418	CB1	D02	
A04-0525.c1	A04-0525	CB1	B01	
J01-0385.c1	J01-0385	CB1	D04	
N03-0437.c1	N03-0437	CB1	C06	
G01-0540.c1	G01-0540	CB1	D01	
D01-0271.c1	D01-0271	CB1	B04	
L01-0534.c1	L01-0534	CB1	C03	
M04-0211.c1	M04-0211	CB1	C05	
A01-0733.c1	A01-0733	CB1	A06	
G01-0548.c1	G01-0548	CB1	B02	
A01-0723.c1	A01-0723	CP509	A01	
C01-0540.c1	C01-0540	CP509	C02	
A04-0518.c1	A04-0518	CP509	B03	
E01-0383.c1	E01-0383	CP509	C04	
C01-0537.c1	C01-0537	CP509	B05	
C01-0539.c1	C01-0539	CP509	C01	
A01-0725.c1	A01-0725	CP509	A02	
O01-0457.c1	O01-0457	CP509	D05	
L01-0536.c1	L01-0536	CP509	D03	
C01-0538.c1	C01-0538	CP509	B06	
A01-0727.c1	A01-0727	CP509	A04	
A02-1314.c1	A02-1314	CP509	A06	
A02-1316.c1	A02-1316	CP509	B02	
N02-0369.c1	N02-0369	CP509	D01	
E01-0382.c1	E01-0382	CP509	C03	
C01-0536.c1	C01-0536	CP509	B04	
J01-0384.c1	J01-0384	CP509	C05	
A02-1315.c1	A02-1315	CP509	B01	
P01-0100.c1	P01-0100	CP509	C06	
Q01-0480.c1	Q01-0480	CP509	D04	
A01-0726.c1	A01-0726	CP509	A03	
A02-1313.c1	A02-1313	CP509	A05	
M03-0308.c1	M03-0308	CP509	D02	
T01-0245.c1	T01-0245	CB6	A01	
C01-0555.c1	C01-0555	CB6	B02	
E01-P15.c1	E01-P15	CB6	B06	
C01-0554.c1	C01-0554	CB6	B01	
R02-0400.c1	R02-0400	CB6	A02	
C01-0553.c1	C01-0553	CB6	A06	
G01-0538.c1	G01-0538	CB6	B03	
E01-P12.c1	E01-P12	CB6	B04	
E01-P13.c1	E01-P13	CB6	B05	
Q01-0483.c1	Q01-0483	CB6	A03	
C01-0551.c1	C01-0551	CB6	A04	
C01-0552.c1	C01-0552	CB6	A05	
R02-0393.c1	R02-0393	CB8	A01	
C01-0558.c1	C01-0558	CB8	A04	
C01-0557.c1	C01-0557	CB8	A03	
C01-0556.c1	C01-0556	CB8	A02	
C01-0560.c1	C01-0560	CB8	A06	
C01-0559.c1	C01-0559	CB8	A05	
C01-0544.c1	C01-0544	CB2	A02	
C01-0545.c1	C01-0545	CB2	A03	
C01-0543.c1	C01-0543	CB2	A01	
K01-0364.c1	K01-0364	CB7	D01	
E01-0391.c1	E01-0391	CB7	C03	
P01-0097.c1	P01-0097	CB7	B04	
E01-0393.c1	E01-0393	CB7	C05	
A01-0755.c1	A01-0755	CB7	A06	
L01-0537.c1	L01-0537	CB7	B02	
A01-0752.c1	A01-0752	CB7	A03	
A01-0754.c1	A01-0754	CB7	A05	
K01-0365.c1	K01-0365	CB7	D02	
A04-0524.c1	A04-0524	CB7	B01	
G01-0546.c1	G01-0546	CB7	C06	
D01-0383.c1	D01-0383	CB7	D04	
R01-0369.c1	R01-0369	CB7	D06	
E01-0392.c1	E01-0392	CB7	C04	
O01-0458.c1	O01-0458	CB7	B03	
M04-0224.c1	M04-0224	CB7	B05	
M03-0290.c1	M03-0290	CB7	C02	
A01-0750.c1	A01-0750	CB7	A01	
A01-0753.c1	A01-0753	CB7	A04	
A01-0751.c1	A01-0751	CB7	A02	
N02-0428.c1	N02-0428	CB7	C01	
T01-0246.c1	T01-0246	CB7	D05	
H01-0744.c1	H01-0744	CB7	D03	
N03-0476.c1	N03-0476	CB7	B06	
A04-0522.c1	A04-0522	CB5	B02	
A01-0749.c1	A01-0749	CB5	A06	
M04-0208.c1	M04-0208	CB5	C05	
B01-0581.c1	B01-0581	CB5	C03	
E01-0389.c1	E01-0389	CB5	B04	
P01-0081.c1	P01-0081	CB5	D01	
M03-0304.c1	M03-0304	CB5	C06	
N03-0481.c1	N03-0481	CB5	D04	
A02-1322.c1	A02-1322	CB5	B01	
O01-0468.c1	O01-0468	CB5	D02	
A01-0748.c1	A01-0748	CB5	A05	
A01-0746.c1	A01-0746	CB5	A03	
D01-0385.c1	D01-0385	CB5	C02	
A01-0744.c1	A01-0744	CB5	A01	
E01-0390.c1	E01-0390	CB5	B05	
J01-0387.c1	J01-0387	CB5	D06	
L01-0541.c1	L01-0541	CB5	C04	
E01-0388.c1	E01-0388	CB5	B03	
N02-0355.c1	N02-0355	CB5	D03	
B01-0599.c1	B01-0599	CB5	B06	
R01-0366.c1	R01-0366	CB5	D05	
A01-0745.c1	A01-0745	CB5	A02	
Q01-0482.c1	Q01-0482	CB5	C01	
A01-0747.c1	A01-0747	CB5	A04	
A01-0743.c1	A01-0743	CB3	A06	
K01-0356.c1	K01-0356	CB3	B02	
M03-0319.c1	M03-0319	CB3	D01	
K01-0363.c1	K01-0363	CB3	B04	
E01-0387.c1	E01-0387	CB3	C03	
H01-0740.c1	H01-0740	CB3	C05	
A04-0521.c1	A04-0521	CB3	B01	
L01-0542.c1	L01-0542	CB3	C06	
N03-0440.c1	N03-0440	CB3	D04	
A01-0740.c1	A01-0740	CB3	A03	
A01-0742.c1	A01-0742	CB3	A05	
M04-0219.c1	M04-0219	CB3	D02	
A01-0734.c1	A01-0734	CB3	A01	
E01-0386.c1	E01-0386	CB3	C02	
P01-0083.c1	P01-0083	CB3	D06	
D01-0255.c1	D01-0255	CB3	C04	
K01-0362.c1	K01-0362	CB3	B03	
K01-0366.c1	K01-0366	CB3	B05	
E01-0385.c1	E01-0385	CB3	C01	
A01-0735.c1	A01-0735	CB3	A02	
O01-0477.c1	O01-0477	CB3	D05	
E01-0384.c1	E01-0384	CB3	B06	
N02-0439.c1	N02-0439	CB3	D03	
A01-0741.c1	A01-0741	CB3	A04	
T01-0244.c1	T01-0244	CB4	A02	
C01-P1.c1	C01-P1	CB4	C01	
C01-0546.c1	C01-0546	CB4	B01	
C01-P6.c1	C01-P6	CB4	B06	
R02-0379.c1	R02-0379	CB4	A05	
H01-0741.c1	H01-0741	CB4	A03	
G01-0530.c1	G01-0530	CB4	A04	
J01-0386.c1	J01-0386	CB4	A06	
C01-P2.c1	C01-P2	CB4	C02	
C01-0547.c1	C01-0547	CB4	B02	
A02-1312.c1	A02-1312	CB4	A01	
C01-0550.c1	C01-0550	CB4	B05	
C01-P5.c1	C01-P5	CB4	C05	
C01-P4.c1	C01-P4	CB4	C04	
C01-P3.c1	C01-P3	CB4	C03	
C01-0548.c1	C01-0548	CB4	B03	
C01-0549.c1	C01-0549	CB4	B04	
