concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
U01-0165.c1	U01-0165	CB200	D05	
R02-1002.c1	R02-1002	CB200	C03	
J01-1001.c1	J01-1001	CB200	C01	
Q01-1002.c1	Q01-1002	CB200	C05	
C01-1130.c1	C01-1130	CB200	B06	
A01-1417.c1	A01-1417	CB200	A02	
K01-0543.c1	K01-0543	CB200	D01	
C01-1126.c1	C01-1126	CB200	B02	
A01-1421.c1	A01-1421	CB200	A06	
F01-0151.c1	F01-0151	CB200	D03	
D01-1001.c1	D01-1001	CB200	C04	
A01-1420.c1	A01-1420	CB200	A05	
C01-1128.c1	C01-1128	CB200	B04	
J01-1002.c1	J01-1002	CB200	C02	
A01-1419.c1	A01-1419	CB200	A04	
A04-0567.c1	A04-0567	CB200	C06	
C01-1129.c1	C01-1129	CB200	B05	
A01-1422.c1	A01-1422	CB200	B01	
K01-0540.c1	K01-0540	CB200	D02	
C01-1127.c1	C01-1127	CB200	B03	
A01-1418.c1	A01-1418	CB200	A03	
H01-1009.c1	H01-1009	CB200	D06	
A01-1416.c1	A01-1416	CB200	A01	
M04-1000.c1	M04-1000	CB201	A04	
L01-0658.c1	L01-0658	CB201	A05	
N02-0595.c1	N02-0595	CB201	A06	
P01-1003.c1	P01-1003	CB201	A01	
M03-1000.c1	M03-1000	CB201	A03	
O01-0589.c1	O01-0589	CB201	A02	
