concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-0856.c1	A01-0856	CB43	A02	
P01-0104.c1	P01-0104	CB43	B02	
C01-0641.c1	C01-0641	CB43	A03	
O01-0466.c1	O01-0466	CB43	B03	
C01-0643.c1	C01-0643	CB43	A05	
M03-0299.c1	M03-0299	CB43	B05	
R01-0382.c2	R01-0382	CB43	C05	
G01-0533.c1	G01-0533	CB43	C03	
H01-0915.c1	H01-0915	CB43	C02	
C01-0644.c1	C01-0644	CB43	A06	
M04-0221.c1	M04-0221	CB43	B06	
T01-0261.c1	T01-0261	CB43	C04	
N02-0426.c1	N02-0426	CB43	C01	
A04-0543.c1	A04-0543	CB43	B01	
A01-0855.c1	A01-0855	CB43	A01	
C01-0642.c1	C01-0642	CB43	A04	
N03-0486.c2	N03-0486	CB43	B04	
U01-0071.c1	U01-0071	CB44	B01	
A01-0843.c1	A01-0843	CB44	A01	
D01-0416.c1	D01-0416	CB44	A04	
A01-0857.c1	A01-0857	CB44	A02	
R01-0481.c1	R01-0481	CB44	B02	
A01-0858.c1	A01-0858	CB44	A03	
J01-0418.c1	J01-0418	CB44	A05	
K01-0384.c1	K01-0384	CB44	A06	
