Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/uL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Accepted Droplets,Positives,Negatives
G02,,,,,1,26.1711978912354,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19183,395,18788
G03,,,,,1,259.486083984375,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18991,3540,15451
G04,,,,,1,102.238929748535,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,16512,1289,15223
G05,,,,,1,64.6370239257813,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,20344,1019,19325
G06,,,,,1,17.7457981109619,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18060,253,17807
G07,,,,,1,14.5467662811279,Manual,DQ,PosCtrl,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18090,208,17882
H01,,,,,1,254.399688720703,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17416,3189,14227
H02,,,,,1,185.908981323242,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17155,2357,14798
H03,,,,,1,298.962829589844,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,19235,4069,15166
H04,,,,,1,41.6715087890625,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17799,580,17219
H05,,,,,1,1654.43212890625,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18029,13190,4839
H06,,,,,1,25.1273574829102,Manual,DQ,Unknown,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,18202,360,17842
H07,,,,,1,0,Manual,DQ,NTC,Unknown,One-Step RT-ddPCR Advanced Kit for Probes,FAM,17888,0,17888
