sample_id	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_comment
A02-4021	ReynoldsWVU-01	Upstream Collection	Pass	06/13/2026 07:00 AM	06/15/2026 07:00 AM	06/15/2026 09:18 AM	Aidan Aird		ID	06/15/2026	
A02-4031	OaklandWVU-01	Upstream Collection	Pass	06/24/2026 07:00 AM	06/26/2026 07:00 AM	06/26/2026 08:33 AM	Aidan Aird		ID	06/26/2026	
A02-3003	OaklandWVU-01	Upstream Collection	Pass	05/23/2026 07:00 AM	05/25/2026 07:00 AM	05/26/2026 10:40 AM	Aidan/Hannah		ID	05/26/2026	Campus Sample Rep
G01-1018	KeyserWWTP-01	Routine Surveillance	Pass	06/28/2026 09:00 AM	06/29/2026 08:00 AM	06/28/2026 08:00 AM		1.3578	LS	07/02/2026	
C01-1300	WheelingWWTP-01	Routine Surveillance	Pass	06/16/2026 07:00 AM	06/17/2026 07:00 AM	06/17/2026 07:00 AM		8.1	LS	06/25/2026	
A02-4011	OaklandWVU-01	Upstream Collection	Pass	06/06/2026 07:00 AM	06/08/2026 07:00 AM	06/06/2026 07:40 AM			LS	06/09/2026	
A02-2009	FacManWVU-01	Upstream Collection	Pass	06/03/2026 07:00 AM	06/05/2026 07:00 AM	06/05/2026 10:12 AM	Brian		ID	06/05/2026	
C01-1306	WheelingWWTP-01	Routine Surveillance	Pass	06/24/2026 08:00 AM	06/25/2026 08:00 AM	06/25/2026 08:00 AM		8.6	LS	07/02/2026	
H01-1037	MoundsvilleWWTP-01	Routine Surveillance	Pass	06/21/2026 08:00 AM	06/22/2026 08:00 AM	06/22/2026 08:00 AM		1.2	LS	06/25/2026	
A01-1600	StarCityWWTP-01	Routine Surveillance	Pass	06/23/2026 12:00 AM	06/24/2026 12:00 AM	06/24/2026 12:00 AM		10.4	LS	07/02/2026	
W01-1019	SummersvilleWWTP-01	Routine Surveillance	Pass	06/28/2026 11:00 AM	06/29/2026 11:00 AM	06/29/2026 11:08 AM		1.08	LS	07/02/2026	
