concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
C01-0595.c1	C01-0595	CB19	C01	
A01-0797.c1	A01-0797	CB19	A04	
A01-0739.c1	A01-0739	CB19	A02	
T01-0251.c1	T01-0251	CB19	C06	
A01-0796.c1	A01-0796	CB19	A03	
A01-0790.c1	A01-0790	CB19	B01	
A01-0798.c1	A01-0798	CB19	A05	
C01-0594.c1	C01-0594	CB19	B06	
A02-1323.c1	A02-1323	CB19	C03	
Q01-0490.c1	Q01-0490	CB19	D01	
A01-0799.c1	A01-0799	CB19	A06	
A04-0540.c1	A04-0540	CB19	C04	
A02-1325.c1	A02-1325	CB19	C02	
A01-0738.c1	A01-0738	CB19	A01	
C01-0593.c1	C01-0593	CB19	B05	
C01-0591.c1	C01-0591	CB19	B03	
A01-0791.c1	A01-0791	CB19	B02	
C01-0592.c1	C01-0592	CB19	B04	
L01-0538.c1	L01-0538	CB19	C05	
D01-0401.c1	D01-0401	CB20	A04	
H01-0903.c1	H01-0903	CB20	A02	
G01-0543.c1	G01-0543	CB20	A03	
M03-0277.c1	M03-0277	CB20	A01	
