concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A02-1344.c1	A02-1344	CB80	A04	
A02-1345.c1	A02-1345	CB80	A05	
A02-1343.c1	A02-1343	CB80	A03	
A02-1342.c1	A02-1342	CB80	A02	
K01-0473.c1	K01-0473	CB80	A01	
C01-0725.c1	C01-0725	CB79	B05	
A01-0982.c1	A01-0982	CB79	A05	
N02-0445.c1	N02-0445	CB79	C06	
P01-0122.c1	P01-0122	CB79	C03	
T01-0280.c1	T01-0280	CB79	D02	
A01-0983.c1	A01-0983	CB79	A06	
A04-0561.c1	A04-0561	CB79	B06	
M03-0388.c1	M03-0388	CB79	D01	
A01-0980.c1	A01-0980	CB79	A03	
C01-0723.c1	C01-0723	CB79	B03	
O01-0498.c1	O01-0498	CB79	C05	
D01-0547.c1	D01-0547	CB79	D04	
N03-0465.c1	N03-0465	CB79	C02	
N03-0466.c1	N03-0466	CB79	C01	
L01-0570.c1	L01-0570	CB79	C04	
D01-0542.c1	D01-0542	CB79	D05	
A01-0981.c1	A01-0981	CB79	A04	
C01-0724.c1	C01-0724	CB79	B04	
A01-0978.c1	A01-0978	CB79	A01	
C01-0721.c1	C01-0721	CB79	B01	
C01-0722.c1	C01-0722	CB79	B02	
A01-0979.c1	A01-0979	CB79	A02	
Q01-0515.c1	Q01-0515	CB79	D06	
K01-0467.c1	K01-0467	CB79	D03	
