extraction_batch_comment	extraction_batch_id	extraction_batch_record_version	extraction_date	extraction_eluant	extraction_input_ul	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_run_by
	ME48	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME49	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME50	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME51	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME52	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME53	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME54	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME55	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME56	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME57	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME58	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME59	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME60	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME61	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME62	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME63	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME64	1.0.0	2/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME65	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME66	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME67	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME68	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME69	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME70	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME71	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME72	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME73	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
	ME74	1.0.0	2/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MS
