concentration_batch_comment	concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
	PE73	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		4	AT
	PE74	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		6	AT
	PE75	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		5	AT
	PE76	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		5	AT
	PE77	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		4	AT
	PE78	1.0.0	2/22/21	100	Sorvall	PEG Precipitation		4	AT
	PE79	1.0.0	3/12/21	100	Sorvall	PEG Precipitation		5	AHT
	PE8	1.0.0	11/13/20	100	Sorvall	PEG Precipitation		3.4	MS
	PE80	1.0.0	3/12/21	100	Sorvall	PEG Precipitation		5	AHT
	PE81	1.0.0	3/12/21	100	Sorvall	PEG Precipitation		5	AHT
	PE82	1.0.0	3/12/21	100	Sorvall	PEG Precipitation		5	AHT
	PE83	1.0.0	3/12/21	100	Sorvall	PEG Precipitation		5	AHT
	PE84	1.0.0	3/19/21	100	Sorvall	PEG Precipitation		4.2	TD
	PE85	1.0.0	3/19/21	100	Sorvall	PEG Precipitation		3.4	TD
	PE86	1.0.0	3/19/21	100	Sorvall	PEG Precipitation		3.6	TD
	PE87	1.0.0	3/19/21	100	Sorvall	PEG Precipitation		3.6	TD
	PE88	1.0.0	3/19/21	100	Sorvall	PEG Precipitation		3.5	TD
	PE89	1.0.0	3/26/21	100	Sorvall	PEG Precipitation		4	MVS
	PE9	1.0.0	11/13/20	100	Sorvall	PEG Precipitation		4	MS
	PE90	1.0.0	3/26/21	100	Sorvall	PEG Precipitation		9	MVS
	PE91	1.0.0	3/26/21	100	Sorvall	PEG Precipitation		8	MVS
	PE92	1.0.0	3/26/21	100	Sorvall	PEG Precipitation		4	MVS
	PE93	1.0.0	3/26/21	100	Sorvall	PEG Precipitation		7	MVS
	PE94	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE95	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE96	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		6	MVS
	PE97	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE98	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	PE99	1.0.0	4/9/21	100	Sorvall	PEG Precipitation		5	MVS
	
