concentration_batch_comment	concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
	CP149	1.0.0	5/20/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP150	1.0.0	5/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP151	1.0.0	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP152	1.0.0	5/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP153	1.0.0	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP154	1.0.0	5/27/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP155	1.0.0	5/27/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP156	1.0.0	5/31/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP157	1.0.0	6/1/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP158	1.0.0	6/1/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP159	1.0.0	6/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP16	1.0.0	9/24/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP160	1.0.0	6/2/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP161	1.0.0	6/3/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP162	1.0.0	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP163	1.0.0	6/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP164	1.0.0	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP165	1.0.0	6/10/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP166	1.0.0	6/10/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP167	1.0.0	6/15/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP168	1.0.0	6/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP169	1.0.0	6/17/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP17	1.0.0	9/27/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP170	1.0.0	6/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP172	1.0.0	6/22/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP173	1.0.0	6/22/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP174	1.0.0	6/24/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP175	1.0.0	6/24/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP176	1.0.0	6/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP177	1.0.0	6/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP178	1.0.0	6/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP179	1.0.0	6/30/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP18	1.0.0	9/29/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP180	1.0.0	7/6/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP181	1.0.0	7/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP182	1.0.0	7/7/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP183	1.0.0	7/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP184	1.0.0	7/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP185	1.0.0	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP186	1.0.0	7/13/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP187	1.0.0	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP19	1.0.0	10/1/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP2	1.0.0	8/23/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP20	1.0.0	10/5/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP21	1.0.0	10/7/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP22	1.0.0	10/8/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP23	1.0.0	10/11/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP24	1.0.0	10/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP25	1.0.0	10/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP26	1.0.0	10/18/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP27	1.0.0	10/20/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP28	1.0.0	10/25/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP29	1.0.0	10/27/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
	CP3	1.0.0	8/24/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP30	1.0.0	10/28/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP31	1.0.0	11/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
	CP32	1.0.0	11/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP33	1.0.0	11/5/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
	CP34	1.0.0	11/11/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
	CP35	1.0.0	11/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	LW
	CP36	1.0.0	11/16/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	AJ
	CP37	1.0.0	11/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
	CP38	1.0.0	11/19/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP39	1.0.0	11/22/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP4	1.0.0	8/25/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP40	1.0.0	11/29/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP41	1.0.0	11/30/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP42	1.0.0	12/2/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
	CP43	1.0.0	12/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP44	1.0.0	12/6/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP45	1.0.0	12/8/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP46	1.0.0	12/9/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
	CP47	1.0.0	12/10/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP48	1.0.0	12/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP49	1.0.0	12/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP5	1.0.0	8/27/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP50	1.0.0	12/16/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP51	1.0.0	12/17/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP52	1.0.0	12/21/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP53	1.0.0	12/22/21	10	Halcyon	Ceres Nanotrap	NT04774	0.475	AJ
	CP54	1.0.0	1/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	JL
	CP55	1.0.0	1/4/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP56	1.0.0	1/6/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP57	1.0.0	1/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP58	1.0.0	1/11/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	aj
	CP59	1.0.0	1/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP60	1.0.0	1/19/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP61	1.0.0	1/19/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP62	1.0.0	1/20/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP63	1.0.0	1/21/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP64	1.0.0	1/24/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP65	1.0.0	1/25/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP66	1.0.0	1/26/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP67	1.0.0	1/28/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP68	1.0.0	1/31/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP69	1.0.0	2/1/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP7	1.0.0	9/2/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
	CP70	1.0.0	2/2/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP71	1.0.0	2/4/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
	CP72	1.0.0	2/7/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP73	1.0.0	2/9/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
	CP74	1.0.0	2/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
	CP76	1.0.0	2/14/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP77	1.0.0	2/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP78	1.0.0	2/15/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP79	1.0.0	2/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
	CP8	1.0.0	9/3/21	10	Halcyon	Ceres Nanotrap	NT04155	0.425	JL
	CP80	1.0.0	2/18/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
	CP81	1.0.0	2/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
