sample_id	sample_status	location_id	sample_event	sample_qc	sample_collection_start_datetime	sample_collection_end_datetime	sample_recovered_datetime	sample_collection_by	sample_flow	sample_received_by	sample_received_date	sample_ph_lab	sample_comment
E01-0690		PrincetonWWTP-01	Routine Surveillance	Pass	01/30/2025 09:00 AM	01/31/2025 09:00 AM	01/31/2025 09:00 AM		12.197	AJ	02/06/2025		
M04-0395		FarmingtonWWTP-01	Routine Surveillance	Pass	01/26/2025 09:00 AM	01/27/2025 09:00 AM	01/27/2025 09:00 AM		0.117	AJ	02/06/2025		
P01-0186		StMarysWWTP-01	Routine Surveillance	Pass	02/02/2025 08:00 AM	02/03/2025 08:00 AM	02/03/2025 08:00 AM		0.261	AJ	02/06/2025		
U01-0143		WhiteOakWWTP-01	Routine Surveillance	Pass	01/26/2025 10:30 AM	01/28/2025 10:30 AM	01/27/2025 10:30 AM		0.481	AJ	01/29/2025		
C01-0850		WheelingWWTP-01	Routine Surveillance	Pass	01/26/2025 08:00 AM	01/27/2025 08:00 AM	01/27/2025 08:00 AM		6.70	AJ	01/29/2025		
K01-0516		ParkersburgWWTP-01	Routine Surveillance	Pass	02/03/2025 06:30 AM	02/04/2025 06:30 AM	02/04/2025 06:30 AM		5.343	AJ	02/06/2025		
A02-1371		Coliseum-01	Mass-Gathering Event	Pass	01/29/2025 05:00 PM	01/30/2025 01:00 AM	01/30/2025 10:00 AM			AJ	02/03/2025		
A01-1152		StarCityWWTP-01	Routine Surveillance	Pass	01/20/2025 12:00 AM	01/21/2025 12:00 AM	01/21/2025 12:00 AM		9.9	AJ	01/29/2025		
A01-1156		StarCityWWTP-01	Routine Surveillance	Pass	01/25/2025 12:00 AM	01/26/2025 12:00 AM	01/26/2025 12:00 AM		10.4	AJ	01/29/2025		
C01-0846		WheelingWWTP-01	Routine Surveillance	Pass	01/20/2025 08:00 AM	01/21/2025 08:00 AM	01/21/2025 08:00 AM		5.67	AJ	01/29/2025		
O01-0310		GraftonWWTP-01	Routine Surveillance	Pass	01/26/2025 08:00 AM	01/27/2025 08:00 AM	01/27/2025 08:00 AM		1.67	AJ	01/29/2025		
A01-1160		StarCityWWTP-01	Routine Surveillance	Pass	01/29/2025 12:00 AM	01/30/2025 12:00 AM	01/30/2025 12:00 AM		10.6	AJ	02/06/2025		
U01-0141		WhiteOakWWTP-01	Routine Surveillance	Pass	02/02/2025 09:00 AM	02/03/2025 09:00 AM	02/03/2025 09:00 AM		0.778	AJ	02/06/2025		
A01-1162		StarCityWWTP-01	Routine Surveillance	Pass	02/01/2025 12:00 AM	02/02/2025 12:00 AM	02/02/2025 12:00 AM		11.7	AJ	02/06/2025		
T01-0390		PointPleasantWWTP-01	Routine Surveillance	Pass	02/03/2025 07:00 AM	02/04/2025 07:00 AM	02/04/2025 07:00 AM		0.27	AJ	02/06/2025		
H01-0967		MoundsvilleWWTP-01	Routine Surveillance	Pass	02/03/2025 08:00 AM	02/04/2025 08:00 AM	02/04/2025 08:00 AM		1.6	AJ	02/06/2025		
N02-0534		ClarksburgWWTP-01	Routine Surveillance	Pass	01/26/2025 07:00 AM	01/27/2025 07:00 AM	01/27/2025 07:00 AM		8.513	AJ	01/29/2025		
M04-0397		FarmingtonWWTP-01	Routine Surveillance	Pass	02/02/2025 08:00 AM	02/03/2025 08:00 AM	02/03/2025 08:00 AM		0.260	AJ	02/06/2025		
K01-0520		ParkersburgWWTP-01	Routine Surveillance	Pass	01/27/2025 06:30 AM	01/28/2025 06:30 AM	01/28/2025 06:30 AM		5.178	AJ	01/29/2025		
E01-0692		PrincetonWWTP-01	Routine Surveillance	Pass	02/03/2025 09:00 AM	02/04/2025 09:00 AM	02/04/2025 09:00 AM		5.231	AJ	02/06/2025		
T01-0389		PointPleasantWWTP-01	Routine Surveillance	Pass	01/27/2025 07:00 AM	01/28/2025 07:00 AM	01/28/2025 07:00 AM		0.29	AJ	01/29/2025		
D01-0560		CharlesTownWWTP-01	Routine Surveillance	Pass	02/03/2025 07:00 AM	02/04/2025 07:00 AM	02/04/2025 07:00 AM		1.06	AJ	02/06/2025		
A01-1154		StarCityWWTP-01	Routine Surveillance	Pass	01/22/2025 12:00 AM	01/23/2025 12:00 AM	01/23/2025 12:00 AM		10.5	AJ	01/29/2025		
M03-0507		ManningtonWWTP-01	Routine Surveillance	Pass	02/02/2025 08:00 AM	02/03/2025 08:00 AM	02/03/2025 08:00 AM		0.380	AJ	02/06/2025		
A04-0646		CheatLakeWWTP-01	Routine Surveillance	Pass	02/02/2025 08:00 AM	02/03/2025 08:00 AM	02/03/2025 08:00 AM		0.817	AJ	02/06/2025		
G01-0605		KeyserWWTP-01	Routine Surveillance	Pass	02/02/2025 08:00 AM	02/03/2025 08:00 AM	02/03/2025 08:00 AM		1.243	AJ	02/06/2025		
A01-1153		StarCityWWTP-01	Routine Surveillance	Pass	01/21/2025 12:00 AM	01/22/2025 12:00 AM	01/22/2025 12:00 AM		10.9	AJ	01/29/2025		
C01-0847		WheelingWWTP-01	Routine Surveillance	Pass	01/21/2025 08:00 AM	01/22/2025 08:00 AM	01/22/2025 08:00 AM		5.67	AJ	01/29/2025		
E01-0691		PrincetonWWTP-01	Routine Surveillance	Pass	02/02/2025 07:00 AM	02/03/2025 07:00 AM	02/03/2025 07:00 AM		6.70	AJ	02/06/2025		
C01-0849		WheelingWWTP-01	Routine Surveillance	Pass	01/23/2025 08:00 AM	01/24/2025 08:00 AM	01/24/2025 08:00 AM		6.60	AJ	01/29/2025		
