concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1312.c1	A01-1312	CB167	B01	
A04-0689.c1	A04-0689	CB167	D05	
N02-0589.c1	N02-0589	CB167	C06	
U01-0158.c1	U01-0158	CB167	D06	
K01-0528.c1	K01-0528	CB167	C05	
H01-0992.c1	H01-0992	CB167	D02	
A01-1303.c1	A01-1303	CB167	A01	
J01-0544.c1	J01-0544	CB167	C03	
Q01-0622.c1	Q01-0622	CB167	D04	
L01-0644.c1	L01-0644	CB167	C02	
D01-0605.c1	D01-0605	CB167	D03	
R02-0540.c1	R02-0540	CB167	C04	
A01-1309.c1	A01-1309	CB167	A05	
F01-0137.c1	F01-0137	CB167	B04	
A01-1313.c1	A01-1313	CB167	B02	
A01-1310.c1	A01-1310	CB167	A06	
P01-0195.c1	P01-0195	CB167	B03	
Q01-0621.c1	Q01-0621	CB167	B05	
A01-1308.c1	A01-1308	CB167	A04	
A01-1304.c1	A01-1304	CB167	A02	
G01-0644.c1	G01-0644	CB167	D01	
M04-0420.c1	M04-0420	CB167	B06	
A01-1307.c1	A01-1307	CB167	A03	
M03-0521.c1	M03-0521	CB167	C01	
