concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
A01-1230.c1	A01-1230	CB144	A03	
C01-0882.c1	C01-0882	CB144	B03	
R02-0534.c1	R02-0534	CB144	D05	
O01-0308.c1	O01-0308	CB144	D02	
A04-0696.c1	A04-0696	CB144	D01	
A01-1233.c1	A01-1233	CB144	A06	
C01-0885.c1	C01-0885	CB144	B06	
C01-0883.c1	C01-0883	CB144	B04	
A01-1231.c1	A01-1231	CB144	A04	
H01-0980.c1	H01-0980	CB144	C05	
E01-0617.c1	E01-0617	CB144	C02	
C01-0886.c1	C01-0886	CB144	C01	
A01-1235.c1	A01-1235	CB144	B02	
A01-1232.c1	A01-1232	CB144	A05	
A01-1234.c1	A01-1234	CB144	B01	
C01-0884.c1	C01-0884	CB144	B05	
A01-1229.c1	A01-1229	CB144	A02	
A01-1228.c1	A01-1228	CB144	A01	
L01-0629.c1	L01-0629	CB144	D03	
E01-0619.c1	E01-0619	CB144	C04	
U01-0119.c1	U01-0119	CB144	C06	
M03-0513.c1	M03-0513	CB144	D04	
J01-0531.c1	J01-0531	CB144	D06	
E01-0618.c1	E01-0618	CB144	C03	
K01-0537.c1	K01-0537	CB145	A03	
G01-0618.c1	G01-0618	CB145	A01	
N02-0563.c1	N02-0563	CB145	A02	
D01-0588.c1	D01-0588	CB145	A04	
