concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
M04-1015.c1	M04-1015	CB269	C01	
M03-1029.c1	M03-1029	CB269	A01	
M03-1030.c1	M03-1030	CB269	B01	
A01-1617.c1	A01-1617	CB266	B02	
R02-1034.c1	R02-1034	CB266	B05	
A01-1612.c1	A01-1612	CB266	A01	
C01-1322.c1	C01-1322	CB266	B03	
Q01-1035.c1	Q01-1035	CB266	D04	
A01-1616.c1	A01-1616	CB266	A02	
A01-1613.c1	A01-1613	CB266	B01	
H01-1041.c1	H01-1041	CB266	A05	
K01-1015.c1	K01-1015	CB266	C04	
C01-1321.c1	C01-1321	CB266	A03	
A01-1615.c1	A01-1615	CB266	D01	
T01-1010.c1	T01-1010	CB266	C05	
C01-1319.c1	C01-1319	CB266	C02	
U01-1009.c1	U01-1009	CB266	A04	
D01-1031.c1	D01-1031	CB266	A06	
C01-1323.c1	C01-1323	CB266	C03	
A01-1614.c1	A01-1614	CB266	C01	
C01-1320.c1	C01-1320	CB266	D02	
J01-1035.c1	J01-1035	CB266	D05	
G01-1019.c1	G01-1019	CB266	D03	
W01-1022.c1	W01-1022	CB266	B04	
F01-1024.c1	F01-1024	CB266	B06	
K01-1016.c1	K01-1016	CB268	A04	
N02-1016.c1	N02-1016	CB268	A06	
G01-1020.c1	G01-1020	CB268	C03	
A01-1621.c1	A01-1621	CB268	D01	
C01-1325.c1	C01-1325	CB268	C02	
P01-1024.c1	P01-1024	CB268	C05	
U01-0163.c1	U01-0163	CB268	B04	
N02-1017.c1	N02-1017	CB268	B06	
H01-1042.c1	H01-1042	CB268	D03	
A01-1620.c1	A01-1620	CB268	C01	
O01-1019.c1	O01-1019	CB268	D05	
C01-1326.c1	C01-1326	CB268	D02	
J01-1036.c1	J01-1036	CB268	D04	
L01-1026.c1	L01-1026	CB268	D06	
C01-1328.c1	C01-1328	CB268	B03	
A01-1618.c1	A01-1618	CB268	A01	
P01-1023.c1	P01-1023	CB268	B05	
C01-1324.c1	C01-1324	CB268	B02	
R02-1035.c1	R02-1035	CB268	C04	
D01-1032.c1	D01-1032	CB268	C06	
C01-1327.c1	C01-1327	CB268	A03	
A01-1619.c1	A01-1619	CB268	B01	
W01-1023.c1	W01-1023	CB268	A05	
A01-1622.c1	A01-1622	CB268	A02	
A02-4052.c1	A02-4052	CB267	A03	
A02-3052.c1	A02-3052	CB267	D02	
A02-3051.c1	A02-3051	CB267	A02	
A02-3050.c1	A02-3050	CB267	B01	
A02-2052.c1	A02-2052	CB267	C02	
A02-4050.c1	A02-4050	CB267	C01	
A02-4051.c1	A02-4051	CB267	B02	
A02-2051.c1	A02-2051	CB267	D01	
A02-2050.c1	A02-2050	CB267	A01	
