concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
T01-0325.c1	T01-0325	CB182	B06	
A04-0683.c1	A04-0683	CB182	C03	
K01-0555.c1	K01-0555	CB182	C05	
J01-0552.c1	J01-0552	CB182	A04	
C01-0991.c1	C01-0991	CB182	B02	
N03-0601.c1	N03-0601	CB182	D04	
C01-0994.c1	C01-0994	CB182	A03	
M03-0533.c1	M03-0533	CB182	A05	
M04-0424.c1	M04-0424	CB182	C04	
A01-1357.c1	A01-1357	CB182	B01	
F01-0146.c1	F01-0146	CB182	D03	
G01-0645.c1	G01-0645	CB182	D05	
C01-0992.c1	C01-0992	CB182	C02	
A01-1359.c1	A01-1359	CB182	D01	
N02-0605.c1	N02-0605	CB182	B05	
C01-0995.c1	C01-0995	CB182	B03	
A01-1356.c1	A01-1356	CB182	A01	
Q01-0632.c1	Q01-0632	CB182	C06	
R02-0556.c1	R02-0556	CB182	D06	
A01-1360.c1	A01-1360	CB182	A02	
A01-1358.c1	A01-1358	CB182	C01	
O01-0585.c1	O01-0585	CB182	A06	
C01-0993.c1	C01-0993	CB182	D02	
H01-1000.c1	H01-1000	CB182	B04	
D01-0618.c1	D01-0618	CB183	B01	
U01-0152.c1	U01-0152	CB183	A01	
L01-0652.c1	L01-0652	CB183	C01	
