assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
U01-0169.a2	U01-0169.e1	U01-0169	AB143	E03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21353	0	0	
U01-0169.a3	U01-0169.e1	U01-0169	AB143	E03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21353	0	0	
U01-0169.a4	U01-0169.e1	U01-0169	AB143	E03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21353	0	0	
U01-0169.a5	U01-0169.e1	U01-0169	AB143	E03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21353	0	0	
C01-1270.a1	C01-1270.e1	C01-1270	AB143	H01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20451	0	5.11539506912231	
C01-1270.a2	C01-1270.e1	C01-1270	AB143	H01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20451	0	0.061507623642683	
C01-1270.a3	C01-1270.e1	C01-1270	AB143	H01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20451	0	0	
C01-1270.a4	C01-1270.e1	C01-1270	AB143	H01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20451	0	0.246048539876938	
C01-1270.a5	C01-1270.e1	C01-1270	AB143	H01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20451	0	0.307568162679672	
F01-1009.a1	F01-1009.e1	F01-1009	AB143	D02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	18903	0	0	
F01-1009.a2	F01-1009.e1	F01-1009	AB143	D02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	18903	0	9.82004833221436	
F01-1009.a3	F01-1009.e1	F01-1009	AB143	D02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	18903	0	0	
F01-1009.a4	F01-1009.e1	F01-1009	AB143	D02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	18903	0	0	
F01-1009.a5	F01-1009.e1	F01-1009	AB143	D02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	18903	0	0	
C01-1273.a1	C01-1273.e1	C01-1273	AB143	C02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20396	0	0	
C01-1273.a2	C01-1273.e1	C01-1273	AB143	C02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20396	0	0.185029536485672	
C01-1273.a3	C01-1273.e1	C01-1273	AB143	C02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20396	0	0	
C01-1273.a4	C01-1273.e1	C01-1273	AB143	C02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20396	0	4.57202529907227	
C01-1273.a5	C01-1273.e1	C01-1273	AB143	C02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20396	0	0	
W01-1006.a1	W01-1006.e1	W01-1006	AB143	A03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19372	0	0.0649336203932762	
W01-1006.a2	W01-1006.e1	W01-1006	AB143	A03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19372	0	0	
W01-1006.a3	W01-1006.e1	W01-1006	AB143	A03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19372	0	0.129870593547821	
W01-1006.a4	W01-1006.e1	W01-1006	AB143	A03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19372	0	0	
W01-1006.a5	W01-1006.e1	W01-1006	AB143	A03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19372	0	13.1195020675659	
N02-1004.a1	N02-1004.e1	N02-1004	AB143	C04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19671	0	0.191849559545517	
N02-1004.a2	N02-1004.e1	N02-1004	AB143	C04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19671	0	0	
N02-1004.a3	N02-1004.e1	N02-1004	AB143	C04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19671	0	0.0639465972781181	
N02-1004.a4	N02-1004.e1	N02-1004	AB143	C04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19671	0	6.41080617904663	
N02-1004.a5	N02-1004.e1	N02-1004	AB143	C04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19671	0	0	
A01-1529.a1	A01-1529.e1	A01-1529	AB143	D01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19699	0	0.255442261695862	
A01-1529.a2	A01-1529.e1	A01-1529	AB143	D01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19699	0	3.38882732391357	
A01-1529.a3	A01-1529.e1	A01-1529	AB143	D01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19699	0	0.702591121196747	
A01-1529.a4	A01-1529.e1	A01-1529	AB143	D01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19699	0	0.127714648842812	
A01-1529.a5	A01-1529.e1	A01-1529	AB143	D01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19699	0	0.191576838493347	
A01-1528.a1	A01-1528.e1	A01-1528	AB143	C01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20215	0	0	
A01-1528.a2	A01-1528.e1	A01-1528	AB143	C01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20215	0	0.31115934252739	
A01-1528.a3	A01-1528.e1	A01-1528	AB143	C01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20215	0	0.56014221906662	
A01-1528.a4	A01-1528.e1	A01-1528	AB143	C01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20215	0	3.6141893863678	
A01-1528.a5	A01-1528.e1	A01-1528	AB143	C01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20215	0	3.36460089683533	
T01-0301.a1	T01-0301.e1	T01-0301	AB143	G02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	18475	0	0	
T01-0301.a2	T01-0301.e1	T01-0301	AB143	G02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	18475	0	11.0783348083496	
T01-0301.a3	T01-0301.e1	T01-0301	AB143	G02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	18475	0	0.544794142246246	
T01-0301.a4	T01-0301.e1	T01-0301	AB143	G02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	18475	0	0	
T01-0301.a5	T01-0301.e1	T01-0301	AB143	G02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	18475	0	0.13617642223835	
G01-1006.a1	G01-1006.e1	G01-1006	AB143	F03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20411	0	0	
G01-1006.a2	G01-1006.e1	G01-1006	AB143	F03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20411	0	0.0616281591355801	
G01-1006.a3	G01-1006.e1	G01-1006	AB143	F03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20411	0	0	
G01-1006.a4	G01-1006.e1	G01-1006	AB143	F03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20411	0	12.9463663101196	
G01-1006.a5	G01-1006.e1	G01-1006	AB143	F03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20411	0	0.123259343206882	
T01-0302.a1	T01-0302.e1	T01-0302	AB143	H02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	13243	0	0	
T01-0302.a2	T01-0302.e1	T01-0302	AB143	H02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	13243	0	0	
T01-0302.a3	T01-0302.e1	T01-0302	AB143	H02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	13243	0	0	
T01-0302.a4	T01-0302.e1	T01-0302	AB143	H02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	13243	0	12.5047416687012	
T01-0302.a5	T01-0302.e1	T01-0302	AB143	H02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	13243	0	0	
H01-1025.a1	H01-1025.e1	H01-1025	AB143	D03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19552	0	0	
H01-1025.a2	H01-1025.e1	H01-1025	AB143	D03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19552	0	0	
H01-1025.a3	H01-1025.e1	H01-1025	AB143	D03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19552	0	0	
H01-1025.a4	H01-1025.e1	H01-1025	AB143	D03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19552	0	11.828595161438	
H01-1025.a5	H01-1025.e1	H01-1025	AB143	D03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19552	0	0	
L01-1011.a1	L01-1011.e1	L01-1011	AB143	C03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21432	0	0	
L01-1011.a2	L01-1011.e1	L01-1011	AB143	C03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21432	0	0	
L01-1011.a3	L01-1011.e1	L01-1011	AB143	C03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21432	0	0	
L01-1011.a4	L01-1011.e1	L01-1011	AB143	C03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21432	0	0	
L01-1011.a5	L01-1011.e1	L01-1011	AB143	C03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21432	0	2.17343688011169	
P01-1013.a1	P01-1013.e1	P01-1013	AB143	A05	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	18019	0	0	
P01-1013.a2	P01-1013.e1	P01-1013	AB143	A05	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	18019	0	5.10629940032959	
P01-1013.a3	P01-1013.e1	P01-1013	AB143	A05	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	18019	0	0.488747537136078	
P01-1013.a4	P01-1013.e1	P01-1013	AB143	A05	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	18019	0	0	
P01-1013.a5	P01-1013.e1	P01-1013	AB143	A05	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	18019	0	0.139622777700424	
C01-1271.a1	C01-1271.e1	C01-1271	AB143	A02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19436	0	0.258899182081223	
C01-1271.a2	C01-1271.e1	C01-1271	AB143	A02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19436	0	0	
C01-1271.a3	C01-1271.e1	C01-1271	AB143	A02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19436	0	0.129442930221558	
C01-1271.a4	C01-1271.e1	C01-1271	AB143	A02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19436	0	4.21372842788696	
C01-1271.a5	C01-1271.e1	C01-1271	AB143	A02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19436	0	0	
A01-1531.a1	A01-1531.e1	A01-1531	AB143	F01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	17661	0	0	
A01-1531.a2	A01-1531.e1	A01-1531	AB143	F01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	17661	0	0.498656749725342	
A01-1531.a3	A01-1531.e1	A01-1531	AB143	F01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	17661	0	1.99581408500671	
A01-1531.a4	A01-1531.e1	A01-1531	AB143	F01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	17661	0	3.06630420684814	
A01-1531.a5	A01-1531.e1	A01-1531	AB143	F01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	17661	0	0.641166388988495	
C01-1272.a1	C01-1272.e1	C01-1272	AB143	B02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20782	0	0.121058814227581	
C01-1272.a2	C01-1272.e1	C01-1272	AB143	B02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20782	0	4.7299485206604	
C01-1272.a3	C01-1272.e1	C01-1272	AB143	B02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20782	0	0	
C01-1272.a4	C01-1272.e1	C01-1272	AB143	B02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20782	0	0.181592598557472	
C01-1272.a5	C01-1272.e1	C01-1272	AB143	B02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20782	0	0.0605279505252838	
K01-0482.a1	K01-0482.e1	K01-0482	AB143	E02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20443	0	8.02446556091309	
K01-0482.a2	K01-0482.e1	K01-0482	AB143	E02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20443	0	0.184604108333588	
K01-0482.a3	K01-0482.e1	K01-0482	AB143	E02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20443	0	0.492337852716446	
K01-0482.a4	K01-0482.e1	K01-0482	AB143	E02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20443	0	0.0615316927433014	
K01-0482.a5	K01-0482.e1	K01-0482	AB143	E02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20443	0	0.0615316927433014	
J01-1019.a1	J01-1019.e1	J01-1019	AB143	B05	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19579	0	0	
J01-1019.a2	J01-1019.e1	J01-1019	AB143	B05	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19579	0	4.95665264129639	
J01-1019.a3	J01-1019.e1	J01-1019	AB143	B05	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19579	0	0	
J01-1019.a4	J01-1019.e1	J01-1019	AB143	B05	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19579	0	0	
J01-1019.a5	J01-1019.e1	J01-1019	AB143	B05	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19579	0	0	
A04-0589.a1	A04-0589.e1	A04-0589	AB143	F04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	17509	0	5.11107063293457	
A04-0589.a2	A04-0589.e1	A04-0589	AB143	F04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	17509	0	0.143689930438995	
A04-0589.a3	A04-0589.e1	A04-0589	AB143	F04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	17509	0	0.287396281957626	
A04-0589.a4	A04-0589.e1	A04-0589	AB143	F04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	17509	0	0	
A04-0589.a5	A04-0589.e1	A04-0589	AB143	F04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	17509	0	0	
Q01-1019.a1	Q01-1019.e1	Q01-1019	AB143	G03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20623	0	0	
Q01-1019.a2	Q01-1019.e1	Q01-1019	AB143	G03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20623	0	0.488039821386337	
Q01-1019.a3	Q01-1019.e1	Q01-1019	AB143	G03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20623	0	0	
Q01-1019.a4	Q01-1019.e1	Q01-1019	AB143	G03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20623	0	0	
Q01-1019.a5	Q01-1019.e1	Q01-1019	AB143	G03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20623	0	13.6755428314209	
N03-1002.a1	N03-1002.e1	N03-1002	AB143	B04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19710	0	0.127643376588821	
N03-1002.a2	N03-1002.e1	N03-1002	AB143	B04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19710	0	0	
N03-1002.a3	N03-1002.e1	N03-1002	AB143	B04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19710	0	0.0638200715184212	
N03-1002.a4	N03-1002.e1	N03-1002	AB143	B04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19710	0	0	
N03-1002.a5	N03-1002.e1	N03-1002	AB143	B04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19710	0	4.79551315307617	
A01-1527.a1	A01-1527.e1	A01-1527	AB143	B01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20010	0	0.125729575753212	
A01-1527.a2	A01-1527.e1	A01-1527	AB143	B01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20010	0	1.8243100643158	
A01-1527.a3	A01-1527.e1	A01-1527	AB143	B01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20010	0	0.502993762493134	
A01-1527.a4	A01-1527.e1	A01-1527	AB143	B01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20010	0	0	
A01-1527.a5	A01-1527.e1	A01-1527	AB143	B01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20010	0	0.251471728086472	
Q01-1018.a1	Q01-1018.e1	Q01-1018	AB143	F02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20631	0	0	
Q01-1018.a2	Q01-1018.e1	Q01-1018	AB143	F02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20631	0	0	
Q01-1018.a3	Q01-1018.e1	Q01-1018	AB143	F02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20631	0	0	
Q01-1018.a4	Q01-1018.e1	Q01-1018	AB143	F02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20631	0	0	
Q01-1018.a5	Q01-1018.e1	Q01-1018	AB143	F02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20631	0	8.99459743499756	
J01-1018.a1	J01-1018.e1	J01-1018	AB143	H03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21305	0	0	
J01-1018.a2	J01-1018.e1	J01-1018	AB143	H03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21305	0	4.43586301803589	
J01-1018.a3	J01-1018.e1	J01-1018	AB143	H03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21305	0	0	
J01-1018.a4	J01-1018.e1	J01-1018	AB143	H03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21305	0	0	
J01-1018.a5	J01-1018.e1	J01-1018	AB143	H03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21305	0	0	
A01-1530.a1	A01-1530.e1	A01-1530	AB143	E01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20172	0	0.498953431844711	
A01-1530.a2	A01-1530.e1	A01-1530	AB143	E01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20172	0	0.124719806015491	
A01-1530.a3	A01-1530.e1	A01-1530	AB143	E01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20172	0	0.0623583570122719	
A01-1530.a4	A01-1530.e1	A01-1530	AB143	E01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20172	0	0.810899913311005	
A01-1530.a5	A01-1530.e1	A01-1530	AB143	E01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20172	0	2.87168884277344	
A01-1526.a1	A01-1526.e1	A01-1526	AB143	A01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19546	0	0.450558066368103	
A01-1526.a2	A01-1526.e1	A01-1526	AB143	A01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19546	0	0.12871441245079	
A01-1526.a3	A01-1526.e1	A01-1526	AB143	A01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19546	0	0.193076565861702	
A01-1526.a4	A01-1526.e1	A01-1526	AB143	A01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19546	0	0.12871441245079	
A01-1526.a5	A01-1526.e1	A01-1526	AB143	A01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19546	0	1.28773725032806	
R02-1019.a1	R02-1019.e1	R02-1019	AB143	A04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19435	0	2.78610610961914	
R02-1019.a2	R02-1019.e1	R02-1019	AB143	A04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19435	0	0	
R02-1019.a3	R02-1019.e1	R02-1019	AB143	A04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19435	0	0.841660499572754	
R02-1019.a4	R02-1019.e1	R02-1019	AB143	A04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19435	0	2.00796723365784	
R02-1019.a5	R02-1019.e1	R02-1019	AB143	A04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19435	0	0	
C01-1276.a1	C01-1276.e1	C01-1276	AB144	A02	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19879	0	0	
C01-1276.a2	C01-1276.e1	C01-1276	AB144	A02	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19879	0	0.189842030405998	
C01-1276.a3	C01-1276.e1	C01-1276	AB144	A02	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19879	0	0.126558169722557	
C01-1276.a4	C01-1276.e1	C01-1276	AB144	A02	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19879	0	10.2926921844482	
C01-1276.a5	C01-1276.e1	C01-1276	AB144	A02	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19879	0	0.0632774904370308	
H01-1026.a1	H01-1026.e1	H01-1026	AB144	D03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	21372	0	0	
H01-1026.a2	H01-1026.e1	H01-1026	AB144	D03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21372	0	10.8763151168823	
H01-1026.a3	H01-1026.e1	H01-1026	AB144	D03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	21372	0	0	
H01-1026.a4	H01-1026.e1	H01-1026	AB144	D03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	21372	0	0	
H01-1026.a5	H01-1026.e1	H01-1026	AB144	D03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	21372	0	0	
