assay_id	extraction_id	sample_id	assay_batch_id	assay_location_in_batch	assay_input_ul	assay_class	assay_type	assay_target	assay_target_genetic_locus	assay_template	assay_target_macromolecule	assay_target_fluorophore	assay_accepted_droplets	assay_target_predicted_copies_per_ul_reaction	assay_target_copies_per_ul_reaction	assay_comment
A04-0588.a1	A04-0588.e1	A04-0588	AB143	G04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19992	0	0.0629198178648949	
A04-0588.a2	A04-0588.e1	A04-0588	AB143	G04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19992	0	6.18115043640137	
A04-0588.a3	A04-0588.e1	A04-0588	AB143	G04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19992	0	0	
A04-0588.a4	A04-0588.e1	A04-0588	AB143	G04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19992	0	0.440504848957062	
A04-0588.a5	A04-0588.e1	A04-0588	AB143	G04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19992	0	0.125842794775963	
C01-1269.a1	C01-1269.e1	C01-1269	AB143	G01	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	19974	0	0.0629765242338181	
C01-1269.a2	C01-1269.e1	C01-1269	AB143	G01	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	19974	0	5.99689245223999	
C01-1269.a3	C01-1269.e1	C01-1269	AB143	G01	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	19974	0	0.0629765242338181	
C01-1269.a4	C01-1269.e1	C01-1269	AB143	G01	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	19974	0	0	
C01-1269.a5	C01-1269.e1	C01-1269	AB143	G01	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	19974	0	0.125956207513809	
M03-1013.a1	M03-1013.e1	M03-1013	AB143	H04	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	20839	0	0	
M03-1013.a2	M03-1013.e1	M03-1013	AB143	H04	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	20839	0	0.120727673172951	
M03-1013.a3	M03-1013.e1	M03-1013	AB143	H04	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	20839	0	0	
M03-1013.a4	M03-1013.e1	M03-1013	AB143	H04	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	20839	0	0.0603623874485493	
M03-1013.a5	M03-1013.e1	M03-1013	AB143	H04	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	20839	0	6.1719331741333	
W02-1000.a1	W02-1000.e1	W02-1000	AB143	B03	5	unknown	sample	Respiratory Syncitial Virus, Human	G	sample	RNA	Cy5	16884	0	0	
W02-1000.a2	W02-1000.e1	W02-1000	AB143	B03	5	unknown	sample	Influenza Virus A	M	sample	RNA	FAM	16884	0	0	
W02-1000.a3	W02-1000.e1	W02-1000	AB143	B03	5	unknown	sample	SARS-CoV-2	SC2	sample	RNA	ROX	16884	0	0	
W02-1000.a4	W02-1000.e1	W02-1000	AB143	B03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	16884	0	4.62751483917236	
W02-1000.a5	W02-1000.e1	W02-1000	AB143	B03	5	unknown	sample	Influenza Virus B	NEP/NS1	sample	RNA	Cy5.5	16884	0	0	
U01-0169.a1	U01-0169.e1	U01-0169	AB143	E03	5	unknown	sample	Respiratory Syncitial Virus, Bovine	Unk	sample	RNA	HEX	21353	0	6.79272365570068	
