concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
Q01-0517.c1	Q01-0517	CB76	D04	
C01-0714.c1	C01-0714	CB76	B05	
A01-0966.c1	A01-0966	CB76	A01	
E01-0321.c1	E01-0321	CB76	C01	
C01-0713.c1	C01-0713	CB76	B04	
Q01-0516.c1	Q01-0516	CB76	D05	
G01-0574.c1	G01-0574	CB76	D06	
C01-0715.c1	C01-0715	CB76	B06	
A01-0968.c1	A01-0968	CB76	A03	
D01-0550.c1	D01-0550	CB76	D02	
C01-0711.c1	C01-0711	CB76	B02	
E01-0323.c1	E01-0323	CB76	C03	
A01-0967.c1	A01-0967	CB76	A02	
K01-0452.c1	K01-0452	CB76	D03	
E01-0322.c1	E01-0322	CB76	C02	
C01-0712.c1	C01-0712	CB76	B03	
A01-0971.c1	A01-0971	CB76	A06	
U01-0057.c1	U01-0057	CB76	C06	
H01-0938.c1	H01-0938	CB76	D01	
R02-0457.c1	R02-0457	CB76	C05	
A01-0969.c1	A01-0969	CB76	A04	
A01-0972.c1	A01-0972	CB76	B01	
A01-0970.c1	A01-0970	CB76	A05	
E01-0324.c1	E01-0324	CB76	C04	
O01-0500.c1	O01-0500	CB77	A04	
K01-0451.c1	K01-0451	CB77	A05	
A04-0557.c1	A04-0557	CB77	B01	
N03-0463.c1	N03-0463	CB77	A03	
U01-0077.c1	U01-0077	CB77	A06	
N02-0371.c1	N02-0371	CB77	B02	
M04-0262.c1	M04-0262	CB77	A02	
L01-0562.c1	L01-0562	CB77	B03	
J01-0416.c1	J01-0416	CB77	A01	
M03-0392.c1	M03-0392	CB77	B05	
P01-0124.c1	P01-0124	CB77	B04	
