Asset Tag ID,Description,Sample Collection Method,Sample Collection By,Sample Retrieved Date/Time,Sample Collection Start,Sample Collection End,Sample Received By,Sample Received Date,Assay Date,Comments,Sample pH (Lab),"Control, Process (Type)","Control, Internal (Type)",Sample QC Check,Assay Target 1,Assay Target 1 Result (CN/L),Assay Target 2,Assay Target 2 Result (CN/L),Sample Flow (MGD),Status: WaTCH,Event Type,Site,Location,Category,Department
A03-0371,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
M01-0029,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
C01-034,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
M04-036,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
C1-0188,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Processing,,,,,
A03-0025,TO BE REMOVED,,,,,,,,,,,,,,,,,,,Unknown,,,,Sample,
A01-0965,G,Composite,,08/12/2024 12:00 AM,08/11/2024 12:00 AM,08/12/2024 12:00 AM,AJ,08/13/2024,,,,,,Pass,,,,,6.6,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0556,G,Composite,,08/12/2024 08:00 AM,08/11/2024 08:00 AM,08/12/2024 08:00 AM,AJ,08/13/2024,,,,,,Pass,,,,,0.633,,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0966,G,Composite,,08/13/2024 12:00 AM,08/12/2024 12:00 AM,08/13/2024 12:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,6.8,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0967,G,Composite,,08/14/2024 12:00 AM,08/13/2024 12:00 AM,08/14/2024 12:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,6.6,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0968,G,Composite,,08/15/2024 12:00 AM,08/14/2024 12:00 AM,08/15/2024 12:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,6.7,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0969,G,Composite,,08/17/2024 12:00 AM,08/16/2024 12:00 AM,08/17/2024 12:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,7.2,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0970,G,Composite,,08/18/2024 12:00 AM,08/17/2024 12:00 AM,08/18/2024 12:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,7.3,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A04-0557,G,Composite,,08/19/2024 08:00 AM,08/18/2024 08:00 AM,08/19/2024 08:00 AM,AJ,08/20/2024,,,,,,Pass,,,,,0.618,,Routine Surveillance,Monongalia,CheatLakeWWTP-01,Sample,WWTP
A01-0972,G,Composite,,08/20/2024 12:00 AM,08/19/2024 12:00 AM,08/20/2024 12:00 AM,AJ,08/21/2024,,,,,,Pass,,,,,7.5,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
A01-0971,G,Composite,,08/19/2024 12:00 AM,08/18/2024 12:00 AM,08/19/2024 12:00 AM,AJ,08/21/2024,,,,,,Pass,,,,,7.4,,Routine Surveillance,Monongalia,StarCityWWTP-01,Sample,WWTP
