extraction_id	concentration_id	extraction_batch_id	extraction_location_in_batch	extraction_location_in_storage	extraction_comment
Q01-1008.e1	Q01-1008.c1	EB209	B07	K7	
H01-1015.e1	H01-1015.c1	EB209	C03	L3	
R02-1008.e1	R02-1008.c1	EB209	D06	A6	
A01-1454.e1	A01-1454.c1	EB209	A04	J4	
A01-1452.e1	A01-1452.c1	EB209	A02	J2	
F01-1004.e1	F01-1004.c1	EB209	D08	A8	
L01-1003.e1	L01-1003.c1	EB209	C08	L8	
R02-1007.e1	R02-1007.c1	EB209	C06	L6	
A02-1295.e1	A02-1295.c1	EB209	D03	A3	
J01-1008.e1	J01-1008.c1	EB209	C01	L1	
C01-1160.e1	C01-1160.c1	EB209	B02	K2	
A04-0599.e1	A04-0599.c1	EB209	D05	A5	
C01-1162.e1	C01-1162.c1	EB209	B04	K4	
A01-1457.e1	A01-1457.c1	EB209	A07	J7	
R02-1006.e1	R02-1006.c1	EB209	C05	L5	
O01-0579.e1	O01-0579.c1	EB209	D01	NAB-162 A1	
N02-0581.e1	N02-0581.c1	EB209	C07	L7	
C01-1161.e1	C01-1161.c1	EB209	B03	K3	
A01-1451.e1	A01-1451.c1	EB209	A01	NAB-161 J1	
D01-1006.e1	D01-1006.c1	EB209	B08	K8	
A01-1455.e1	A01-1455.c1	EB209	A05	J5	
K01-0453.e1	K01-0453.c1	EB209	B06	K6	
F01-1003.e1	F01-1003.c1	EB209	D07	A7	
C01-1159.e1	C01-1159.c1	EB209	B01	K1	
U01-0172.e1	U01-0172.c1	EB209	C02	L2	
R02-1005.e1	R02-1005.c1	EB209	C04	L4	
A01-1453.e1	A01-1453.c1	EB209	A03	J3	
M04-0429.e1	M04-0429.c1	EB209	D04	A4	
T01-0422.e1	T01-0422.c1	EB209	B05	K5	
A01-1456.e1	A01-1456.c1	EB209	A06	J6	
C01-1158.e1	C01-1158.c1	EB209	A08	J8	
P01-1006.e1	P01-1006.c1	EB209	D02	A2	
C01-1152.e1	C01-1152.c1	EB206	D04	D4	
A01-1447.e1	A01-1447.c1	EB206	B05	B5	
T01-0417.e1	T01-0417.c1	EB206	F08	F8	
Q01-1006.e1	Q01-1006.c1	EB206	G03	G3	
C01-1150.e1	C01-1150.c1	EB206	D02	D2	
A01-1442.e1	A01-1442.c1	EB206	A08	A8	
D01-1004.e1	D01-1004.c1	EB206	H07	H7	
C01-1142.e1	C01-1142.c1	EB206	C02	C2	
G01-0657.e1	G01-0657.c1	EB206	G06	G6	
A01-1443.e1	A01-1443.c1	EB206	B01	B1	
C01-1144.e1	C01-1144.c1	EB206	C04	C4	
A01-1450.e1	A01-1450.c1	EB206	B08	B8	
Q01-1005.e1	Q01-1005.c1	EB206	F05	F5	
C01-1157.e1	C01-1157.c1	EB206	D07	D7	
A01-1439.e1	A01-1439.c1	EB206	A05	A5	
K01-0465.e1	K01-0465.c1	EB206	F01	F1	
H01-1014.e1	H01-1014.c1	EB206	H02	H2	
C01-1147.e1	C01-1147.c1	EB206	C07	C7	
N02-0578.e1	N02-0578.c1	EB206	H04	H4	
A01-1431.e1	A01-1431.c1	EB206	A01	NAB 161 A1	
C01-1145.e1	C01-1145.c1	EB206	C05	C5	
D01-1005.e1	D01-1005.c1	EB206	H08	H8	
C01-1149.e1	C01-1149.c1	EB206	D01	D1	
F01-1002.e1	F01-1002.c1	EB206	H10	I2	
H01-1013.e1	H01-1013.c1	EB206	F07	F7	
A01-1444.e1	A01-1444.c1	EB206	B02	B2	
C01-1141.e1	C01-1141.c1	EB206	C01	C1	
A01-1441.e1	A01-1441.c1	EB206	A07	A7	
C01-1155.e1	C01-1155.c1	EB206	D05	D5	
A01-1446.e1	A01-1446.c1	EB206	B04	B4	
C01-1148.e1	C01-1148.c1	EB206	C08	C8	
A04-0600.e1	A04-0600.c1	EB206	H05	H5	
N02-0586.e1	N02-0586.c1	EB206	E06	E6	
M04-0432.e1	M04-0432.c1	EB206	E03	E3	
U01-1004.e1	U01-1004.c1	EB206	H01	H1	
A01-1438.e1	A01-1438.c1	EB206	A04	A4	
K01-0545.e1	K01-0545.c1	EB206	F02	F2	
A01-1449.e1	A01-1449.c1	EB206	B07	B7	
J01-1006.e1	J01-1006.c1	EB206	F04	F4	
M04-0426.e1	M04-0426.c1	EB206	D08	D8	
A01-1436.e1	A01-1436.c1	EB206	A02	A2	
A01-1440.e1	A01-1440.c1	EB206	A06	A6	
H01-1012.e1	H01-1012.c1	EB206	F06	F6	
O01-0574.e1	O01-0574.c1	EB206	H09	I1	
K01-0549.e1	K01-0549.c1	EB206	F03	F3	
M03-1004.e1	M03-1004.c1	EB206	E02	E2	
O01-0573.e1	O01-0573.c1	EB206	E04	E4	
A01-1437.e1	A01-1437.c1	EB206	A03	A3	
U01-1003.e1	U01-1003.c1	EB206	G08	G8	
T01-0416.e1	T01-0416.c1	EB206	G01	G1	
A01-1448.e1	A01-1448.c1	EB206	B06	B6	
L01-1002.e1	L01-1002.c1	EB206	E07	E7	
A01-1445.e1	A01-1445.c1	EB206	B03	B3	
G01-1001.e1	G01-1001.c1	EB206	G05	G5	
N02-0594.e1	N02-0594.c1	EB206	E05	E5	
D01-0610.e1	D01-0610.c1	EB206	H06	H6	
U01-1002.e1	U01-1002.c1	EB206	G07	G7	
O01-0572.e1	O01-0572.c1	EB206	H03	H3	
M03-1003.e1	M03-1003.c1	EB206	E01	E1	
Q01-1007.e1	Q01-1007.c1	EB206	G04	G4	
J01-1005.e1	J01-1005.c1	EB206	E08	E8	
C01-1151.e1	C01-1151.c1	EB206	D03	D3	
J01-1007.e1	J01-1007.c1	EB206	G02	G2	
C01-1146.e1	C01-1146.c1	EB206	C06	C6	
C01-1156.e1	C01-1156.c1	EB206	D06	D6	
C01-1143.e1	C01-1143.c1	EB206	C03	C3	
