concentration_id	sample_id	concentration_batch_id	concentration_location_in_batch	concentration_comment
L01-0656C.c1	L01-0656C	CB194	A01	
M03-0534.c1	M03-0534	CB193	C03	
N02-0584.c1	N02-0584	CB193	D03	
C01-1025.c1	C01-1025	CB193	A03	
C01-1022.c1	C01-1022	CB193	B02	
O01-0590.c1	O01-0590	CB193	B03	
C01-1021.c1	C01-1021	CB193	A02	
C01-1023.c1	C01-1023	CB193	C02	
C01-1024.c1	C01-1024	CB193	D02	
G01-1000.c1	G01-1000	CB193	B06	
A01-1396.c1	A01-1396	CB193	D01	
A01-1395.c1	A01-1395	CB193	C01	
A01-1393.c1	A01-1393	CB193	A01	
F01-0154.c1	F01-0154	CB193	B05	
J01-0558.c1	J01-0558	CB193	B04	
P01-1001.c1	P01-1001	CB193	A06	
L01-0656A.c1	L01-0656A	CB193	C06	
L01-0656B.c1	L01-0656B	CB193	D06	
A01-1394.c1	A01-1394	CB193	B01	
R02-0552.c1	R02-0552	CB193	A05	
H01-1005.c1	H01-1005	CB193	A04	
L01-0654.c1	L01-0654	CB193	D05	
K01-0541.c1	K01-0541	CB193	D04	
T01-0399.c1	T01-0399	CB193	C04	
A04-0568.c1	A04-0568	CB193	C05	
