Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
K01-0017				WWTP	ParkersburgWWTP-01	1/20/22 6:33	10.989				
A02-0102	24466.97071	40208.39363		WVU Morgantown	NorthHighSt-02 (MUB)	9/13/21 10:00					
A01-0125	6472.859401	16184.02295		WWTP	StarCityWWTP-01	12/13/21 0:00	7.7				
K01-0020	93335.27058	120951.4354		WWTP	ParkersburgWWTP-01	1/13/22 6:34	5.002				
G01-0058	212287.5	212287.5		WWTP	KeyserWWTP-01	10/18/21 9:00					
A1088	9310	4655		WWTP	StarCityWWTP-01	7/8/21 0:00	8.773				
I01-0006	3004.627023	0		WWTP	WarmSpringsWWTP-01	11/7/21 7:00					
A02-0031	9926.57911	87832.48961		WVU Morgantown	NorthHighSt-02 (MUB)	8/23/21 9:55					
A01-0156	441672.83	488711.8506		WWTP	StarCityWWTP-01	1/19/22 0:00	16.9				
F01-0020	81696.76632	98373.60024		WWTP	WestonWWTP-01	10/6/21 10:00					
A02-0222	1917.398488	15343.30688		WVU Morgantown	OaklandE-02	11/15/21 10:03					
B01-0025	63826.54816	17540.26793		WWTP	CharlestonWWTP-01	10/5/21 7:00					
A0240	41796	29880		WWTP	StarCityWWTP-01	2/11/21 12:00	9.206				
C01-0064	45201.81611	35511.60537		WWTP	WheelingWWTP-01	12/21/21 7:00	6.817				
A03-0010	2144.910013	2144.910013		K-12	BrookhavenES-01	9/20/21 6:00					
A0020	3996	0		WWTP	StarCityWWTP-01	11/17/20 0:00	6.708				
C01-0033	6463.70586	8079.894036		WWTP	WheelingWWTP-01	11/3/21 7:00					
A02-0017	112317.7677	80691.36053		WVU Morgantown	OaklandE-02	8/16/21 9:41					
G01-0080	61838.73385	77885.89418		WWTP	KeyserWWTP-01	11/30/21 9:00	0.58				
B01-0042	15041.00645	0		WWTP	CharlestonWWTP-01	1/5/22 7:00	10.64				
H01-0095	9285.867848	15477.58916		WWTP	MoundsvilleWWTP-01	12/17/21 8:00					
C01-0067	10166.58945	23725.87871		WWTP	WheelingWWTP-01	12/26/21 7:00	8.228				
A0044	55059.6	79172.4		WWTP	StarCityWWTP-01	12/20/20 12:00	11.313				
C01-0056	91630.48223	91630.48223		WWTP	WheelingWWTP-01	12/9/21 7:00	6.696				
B01-0014	71425.01563	39094.63793		WWTP	CharlestonWWTP-01	10/3/21 7:00					
B01-0054	19868.1042	9932.874665		WWTP	CharlestonWWTP-01	12/1/21 7:00	6.929				
A01-0020				WWTP	StarCityWWTP-01						
G01-0059	84918.56277	108747.53		WWTP	KeyserWWTP-01	10/23/21 8:45					
C01-0105	422059.0281	189814.3512		WWTP	WheelingWWTP-01	1/12/22 7:00	9.48				
A01-0073	125994.308	98122.71237		WWTP	StarCityWWTP-01	10/26/21 0:00	8.475				
A02-0050	78239.29638	119380.9909		WVU Morgantown	Evansdale-01	8/23/21 9:13					
A02-0064	12712.87903	25432.51663		WVU Morgantown	NorthHighSt-02 (MUB)	8/30/21 10:35					
L01-0018				WWTP	WestUnionWWTP-01	1/21/22 9:00	0.398				
A02-0049	1524.617206	12199.88503		WVU Morgantown	CollegePark-02	8/25/21 10:04					
A02-0133	4075.31172	6113.216467		WVU Morgantown	CollegePark-02	9/27/21 10:34					
A02-0070	8789.809942	5273.501743		WVU Morgantown	HonorsSummit-01 (MUB)	8/30/21 10:04					
D01-0023				WWTP	CharlesTownWWTP-01	1/24/22 8:00					
A02-0238	9326.159656	23319.29348		WVU Morgantown	CollegePark-02	11/29/21 9:00					
A1076	0	4892.5		WWTP	StarCityWWTP-01	6/22/21 0:00	12.985				
A02-0023	29334.11992	36673.0299		WVU Morgantown	NorthHighSt-02 (MUB)	8/18/21 9:56					
G01-0026	100797.2074	61060.277		WWTP	KeyserWWTP-01	11/15/21 9:00					
A1032	19320	9660		WWTP	StarCityWWTP-01	4/19/21 12:00	8.689				
B01-0018	21333.54232	15513.49722		WWTP	CharlestonWWTP-01	10/17/21 7:00	7.471				
A03-0098				K-12	SuncrestES-01	12/3/21 6:00					
A02-0213	112625	93712.5		WVU Morgantown	OaklandE-02	11/8/21 9:30					
A03-0009											
B01-0011	0	5483.457893		WWTP	CharlestonWWTP-01	9/20/21 7:00					
E02-0098	1003843.882	549355.883		WWTP	AthensWWTP-01	1/13/22 8:00	0.56				
A0049	60192	33456		WWTP	StarCityWWTP-01	12/28/20 12:00	11.75				
J01-0001	3623.860921	0		WWTP	AlpineLakeWWTP-01	12/20/21 12:00	0.117				
A03-0004	0	1690.577418		K-12	NorthES-01	9/15/21 6:00					
A02-0048	3948.927019	6581.891552		WVU Morgantown	CollegePark-02	8/23/21 10:12					
A1013	9168	9168		WWTP	StarCityWWTP-01	3/23/21 12:00	9.556				
C01-0030	10012.01436	11681.07353		WWTP	WheelingWWTP-01	10/31/21 7:00					
H01-0100	18443.02062	46122.77962		WWTP	MoundsvilleWWTP-01	12/22/21 8:00					
A02-0154 c	25452	8496		WVU Morgantown	NorthHighSt-02 (MUB)	8/10/21 9:00	12.341				
H01-0080	35837.3373	25594.97058		WWTP	MoundsvilleWWTP-01	12/2/21 8:00	1.3				
G01-0086	7243.651254	0		WWTP	KeyserWWTP-01	1/2/22 9:00	2.21				
C01-0112	418523.2186	433548.0648		WWTP	WheelingWWTP-01	1/23/22 7:00	7.17				
H01-0072	693385.3877	765376.4427		WWTP	MoundsvilleWWTP-01	1/13/22 8:00	2				
