Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
I01-0047	13944.09461	13944.09461		WWTP	WarmSpringsWWTP-01	11/30/21 7:30	0.38				
A03-0163	0	0		K-12	SuncrestES-01	1/10/22 6:00					
A1004	5520	5520		WWTP	StarCityWWTP-01	3/11/21 12:00	8.844				
H01-0032	46537.5	31662.5		WWTP	MoundsvilleWWTP-01	11/9/21 8:00					
A03-0193	21475.31737	16105.45658		K-12	NorthES-01	1/24/22 6:00					
A1096	0	0		WWTP	StarCityWWTP-01	7/20/21 0:00	7.254				
C01-0054	67320.13978	89784.24042		WWTP	WheelingWWTP-01	12/7/21 7:00	5.172				
A1071	0	3871.25		WWTP	StarCityWWTP-01	6/15/21 0:00	11.758				
A03-0156	30270.30889	15132.42267		K-12	MorgantownHS-01	12/15/21 6:00					
A02-0012	4097.80094	10928.96241		WVU Morgantown	HonorsSummit-01 (MUB)	8/14/21 9:00					
A02-0185				WVU Morgantown	CollegePark-02	10/20/21 10:02					
A02-0079				WVU Morgantown	NorthHighSt-02 (MUB)	9/3/21 10:33					
A1021	42240	12060		WWTP	StarCityWWTP-01	4/4/21 12:00	9.589				
A02-0087	26405.49496	4798.925258		WVU Morgantown	OaklandE-02	9/6/21 9:34					
A1090	0	4298.75		WWTP	StarCityWWTP-01	7/12/21 0:00	10.434				
B01-0032	7030.995442	10546.93563		WWTP	CharlestonWWTP-01	12/12/21 7:00	7.114				
A02-0009	52317.69228	49699.20111		WVU Morgantown	CollegePark-02	8/11/21 9:55					
A1064	0	3705		WWTP	StarCityWWTP-01	6/6/21 0:00	6.384				
A02-0254	2348.458492	4697.048636		WVU Morgantown	Evansdale-01	12/11/21 9:00					
A1019	16560	11040		WWTP	StarCityWWTP-01	3/31/21 12:00	9.229				
H01-0052	0	0		WWTP	MoundsvilleWWTP-01	12/24/21 8:00	1.4				
G02-0020				WVU Keyser	PotomacState-01						
G01-0081				WWTP	KeyserWWTP-01	1/24/22 9:00	1.03				
I01-0046	70703.08037	65648.90139		WWTP	WarmSpringsWWTP-01	11/29/21 7:00	0.374				
A03-0157	0	0		K-12	NorthES-01	12/20/21 6:00					
A03-0014	41112.91736	16144.64082		K-12	NorthES-01	9/29/21 6:00					
J01-0003	3233.059309	0		WWTP	AlpineLakeWWTP-01	12/22/21 9:00	0.13				
G02-0006	95706.10285	108494.646		WVU Keyser	PotomacState-01	10/21/21 11:00					
I01-0002	5707.979612	3805.175349		WWTP	WarmSpringsWWTP-01	10/25/21 7:00					
H01-0043				WWTP	MoundsvilleWWTP-01	11/18/21 8:00	1.5				
A03-0153	0	0		K-12	NorthES-01	12/8/21 6:00					
E02-0007	10991.427	6594.27572		WWTP	AthensWWTP-01	11/10/21 8:00					
B01-0016	19477.99042	36185.49883		WWTP	CharlestonWWTP-01	10/7/21 7:00					
B01-0055	0	0		WWTP	CharlestonWWTP-01	11/30/21 7:00	6.65				
H01-0098	11592.24529	23187.69906		WWTP	MoundsvilleWWTP-01	12/20/21 8:00					
A03-0112	5048.089558	7572.36287		K-12	MountainviewES-01	12/22/21 6:00					
C01-0018	23557.63391	17130.62204		WWTP	WheelingWWTP-01	10/11/21 7:00					
C01-0055	126909.2976	171948.6639		WWTP	WheelingWWTP-01	12/8/21 7:00	6.748				
C01-0021				WWTP							
H01-0006	0	0		WWTP	MoundsvilleWWTP-01	10/3/21 8:00					
A01-0016	111546.0849	62324.9042		WWTP	StarCityWWTP-01	8/26/21 0:00	8.963				
A02-0041	53488.21491	57949.2566		WVU Morgantown	OaklandE-02	8/25/21 9:48					
G01-0006	109123.1789	72717.20365		WWTP	KeyserWWTP-01	12/13/21 9:00	0.673				
H01-0071	830266.3887	876705.9946		WWTP	MoundsvilleWWTP-01	1/12/22 8:00					
E01-0016	1130345.968	1291603.031		WWTP	PrincetonWWTP-01	12/6/21 8:00	1.678				
B01-0003	15182.38552	7590.328939		WWTP	CharlestonWWTP-01	9/21/21 7:00					
A0236	6090	48690		WWTP	StarCityWWTP-01	2/7/21 12:00	10.415				
A01-0140	3649.419942	0		WWTP	StarCityWWTP-01	12/31/21 0:00	16				
A01-0043	205894.2926	41066.96263		WWTP	StarCityWWTP-01	9/22/21 0:00	10.201				
A03-0182	6848.327564	54817.97911		K-12	MountainviewES-01	1/14/22 6:00					
A01-0002	35988.11412	40686.03611		WWTP	StarCityWWTP-01	8/10/21 0:00	8.166				
C01-0050	2746.061403	2746.061403		WWTP	WheelingWWTP-01	12/1/21 7:00	6.108				
A01-0121	62083.15596	62083.15596		WWTP	StarCityWWTP-01	12/8/21 0:00	7.2				
A01-0059	36893.1146	12291.65643		WWTP	StarCityWWTP-01	10/9/21 0:00	8.547				
A03-0094	5402.044868	5402.044868		K-12	MountainviewES-01	11/29/21 6:00					
A02-0253	0	7755.453307		WVU Morgantown	HonorsSummit-01 (MUB)	11/29/21 9:00					
A01-0124	60678.18537	80923.78825		WWTP	StarCityWWTP-01	12/12/21 0:00	8.1				
B01-0024				WWTP	CharlestonWWTP-01	10/20/21 7:00					
G01-0033	9509.192761	9509.192761		WWTP	KeyserWWTP-01	1/4/22 9:00	1.217				
A03-0115	12723.28254	10178.31707		K-12	MountainviewES-01	12/6/21 6:00					
F01-0011	81719.3979	66278.8859		WWTP	WestonWWTP-01	9/27/21 10:00					
A1072	0	0		WWTP	StarCityWWTP-01	6/16/21 0:00	9.596				
A03-0074	60502.75505	54996.45025		K-12	MorgantownHS-01	11/8/21 6:00					
A03-0040	0	0		K-12	MountainviewES-01	10/8/21 6:00					
K01-0018				WWTP	ParkersburgWWTP-01	1/18/22 6:22	6.226				
A02-0265	22410.31241	33619.96282		WVU Morgantown	Evansdale-01	12/13/21 9:00					
J01-0006	7695.173789	0		WWTP	AlpineLakeWWTP-01	12/27/21 9:00	0.229				
H01-0058	27883.08665	41831.59053		WWTP	MoundsvilleWWTP-01	12/30/21 8:00					
H01-0056	0	3475.991311		WWTP	MoundsvilleWWTP-01	12/28/21 8:00	3.5				
A1060	8550	4275		WWTP	StarCityWWTP-01	5/31/21 0:00	7.296				
A03-0036				K-12	MountainviewES-01	9/29/21 6:00					
A02-0285	247778.2425	251723.0558		WVU Morgantown	NorthHighSt-02 (MUB)	1/10/22 9:00					
A01-0047	186878.9375	80527.74131		WWTP	StarCityWWTP-01	9/21/21 0:00	7.79				
A02-0097	0	0		WVU Morgantown	Evansdale-01	9/13/21 9:20					
A01-0087				WWTP	StarCityWWTP-01	11/11/21 0:00	7.002				
A1018	11370	17070		WWTP	StarCityWWTP-01	3/30/21 12:00	10.313				
H01-0084	14705.02267	7351.866346		WWTP	MoundsvilleWWTP-01	12/7/21 8:00	1.6				
C01-0075	50299.15564	12569.13001		WWTP	WheelingWWTP-01	1/5/22 7:00	15.315				
A03-0148	0	5438.495418		K-12	MorgantownHS-01	12/13/21 6:00					
A01-0056	105575.1663	93374.4061		WWTP	StarCityWWTP-01	10/5/21 0:00	7.802				
A1015	33192	19920		WWTP	StarCityWWTP-01	3/25/21 12:00	8.288				
A02-0113	18623.36181	16760.40158		WVU Morgantown	NorthHighSt-02 (MUB)	9/15/21 10:39					
A01-0111	1014164.768	908001.4014		WWTP	StarCityWWTP-01	11/28/21 0:00	6.543				
A02-0153 b	14040	9360		WVU Morgantown	Evansdale-01	8/9/21 9:00	13.937				
H01-0092	19369.64728	24905.47847		WWTP	MoundsvilleWWTP-01	12/14/21 8:00	1.4				
B01-0041	0	0		WWTP	CharlestonWWTP-01	1/3/22 7:00	16				
A02-0082	6631.827205	1326.224785		WVU Morgantown	Evansdale-01	9/4/21 9:00					
E01-0013	96136.00463	63284.27866		WWTP	PrincetonWWTP-01	11/30/21 8:00	1.771				
L01-0022				WWTP	WestUnionWWTP-01	1/17/22 9:00	0.309				
A03-0158	333480.565	293221.8987		K-12	MountainviewES-01	12/13/21 6:00					
A0221	88398	82296		WWTP	StarCityWWTP-01	1/17/21 0:00	7.146				
A01-0081	63112.5	63112.5		WWTP	StarCityWWTP-01	11/4/21 0:00	7.379				
C01-0013	41038.78587	38105.01397		WWTP	WheelingWWTP-01	10/3/21 7:00	6.08				
A02-0060	5328.385681	5328.385681		WVU Morgantown	Evansdale-01	8/30/21 9:23					
A02-0057	880934.5961	937768.7645		WVU Morgantown	NorthHighSt-02 (MUB)	8/27/21 10:40					
B01-0022	22246.11908	29664.72194		WWTP	CharlestonWWTP-01	10/11/21 7:00					
A02-0147	14316.84643	54447.79009		WVU Morgantown	Evansdale-01	10/6/21 9:18					
A02-0255	8424.192751	11232.6332		WVU Morgantown	OaklandE-02	12/8/21 9:00					
C01-0001	14397.60476	8637.567945		WWTP	WheelingWWTP-01	9/12/21 7:00					
A02-0051	52713.95326	64895.74492		WVU Morgantown	Evansdale-01	8/25/21 9:32					
E02-0005	14029.1816	21046.72484		WWTP	AthensWWTP-01	11/8/21 8:00					
H01-0046				WWTP	MoundsvilleWWTP-01	11/20/21 8:00	1.3				
A01-0025				WWTP	StarCityWWTP-01						
A1081	0	0		WWTP	StarCityWWTP-01	6/29/21 0:00	7.266				
B01-0065	2581.488742	7744.943993		WWTP	CharlestonWWTP-01	11/25/21 7:00	10.588				
A02-0103	7333.528586	1833.180599		WVU Morgantown	CollegePark-02	9/11/21 9:00					
A01-0062	50466.09014	8898.38025		WWTP	StarCityWWTP-01	10/13/21 0:00	6.883				
A02-0100	70211.43675	129189.4299		WVU Morgantown	HonorsSummit-01 (MUB)	9/13/21 9:51					
A0027	15891.6	15891.6		WWTP	StarCityWWTP-01	11/25/20 0:00	7.45				
A03-0140	0	0		K-12	MorgantownHS-01	12/10/21 6:00					
A02-0242	2507.20928	7522.077737		WVU Morgantown	CollegePark-02	12/1/21 9:00					
C01-0010	37600.79622	67410.84516		WWTP	WheelingWWTP-01	9/27/21 7:00					
A01-0077	138088.2382	56767.52001		WWTP	StarCityWWTP-01	10/31/21 0:00	10.075				
H01-0057	3200.226263	0		WWTP	MoundsvilleWWTP-01	12/29/21 8:00					
A01-0031	69030.38412	69030.38412		WWTP	StarCityWWTP-01	9/6/21 0:00	9.768				
A03-0155	0	0		K-12	SuncrestES-01	12/22/21 6:00					
C01-0031	5703.530684	12834.77522		WWTP	WheelingWWTP-01	11/1/21 7:00					
A03-0139	2358.104107	0		K-12	SuncrestES-01	12/10/21 6:00					
H01-0094	20385.09853	13588.96505		WWTP	MoundsvilleWWTP-01	12/16/21 8:00					
A0029	28170	32202		WWTP	StarCityWWTP-01	11/29/20 0:00	6.738				
A0230	156660	176250		WWTP	StarCityWWTP-01	1/28/21 0:00	8.148				
B01-0002	34971.15493	40804.43978		WWTP	CharlestonWWTP-01	9/16/21 7:00					
A02-0143				WVU Morgantown							
A02-0172	0	0		WVU Morgantown	NorthHighSt-02 (MUB)	10/13/21 9:59					
A01-0117	47384.7042	3643.075707		WWTP	StarCityWWTP-01	12/4/21 0:00	6.575				
A03-0175	0	7408.614093		K-12	SuncrestES-01	1/14/22 6:00					
E01-0017	303598.1637	48252.59931		WWTP	PrincetonWWTP-01	12/7/21 8:00	1.637				
A03-0110	0	4923.266172		K-12	SuncrestES-01	11/8/21 6:00					
A02-0156	0	0		WVU Morgantown	TowersBB-01	8/10/21 9:00					
A03-0030	15919.51177	35036.31637		K-12	BrookhavenES-01	9/17/21 6:00					
B01-0010	19405.62457	19405.62457		WWTP	CharlestonWWTP-01	9/26/21 7:00					
A01-0099	85917.79813	21462.94422		WWTP	StarCityWWTP-01	11/25/21 0:00	6.639				
A03-0201	0	0		K-12	SuncrestES-01	11/15/21 6:00					
A1062	4013.75	4013.75		WWTP	StarCityWWTP-01	6/2/21 0:00	8.513				
A02-0297	338276.698	389993.7898		WVU Morgantown	Evansdale-01	1/19/22 9:00					
A01-0061	114283.3465	150244.8803		WWTP	StarCityWWTP-01	10/11/21 0:00	7.399				
E02-0023	6164.401453	3082.087389		WWTP	AthensWWTP-01	12/16/21 8:00	0.109				
A0038	100764	74628		WWTP	StarCityWWTP-01	12/10/20 12:00	6.775				
A03-0082	0	3859.455991		K-12	MountainviewES-01	11/15/21 6:00					
C01-0057	58224.27303	84937.45118		WWTP	WheelingWWTP-01	12/12/21 7:00	11.374				
A01-0054	131702.3009	115915.8504		WWTP	StarCityWWTP-01	10/3/21 0:00	8.385				
A01-0129	367054.9911	307543.3677		WWTP	StarCityWWTP-01	12/18/21 0:00	8				
A0032	443142	408920.4		WWTP	StarCityWWTP-01	12/2/20 0:00	10.819				
A02-0125	2338573.751	2526592.445		WVU Morgantown	HonorsSummit-01 (MUB)	9/22/21 10:04					
A02-0078	270792.5808	70220.28267		WVU Morgantown	NorthHighSt-02 (MUB)	9/1/21 10:32					
B01-0061				WWTP	CharlestonWWTP-01	10/21/21 7:00					
A01-0134	19639.08322	27497.29391		WWTP	StarCityWWTP-01	12/25/21 0:00	10.3				
A1098	51418.75	60776.25		WWTP	StarCityWWTP-01	7/22/21 0:00	6.513				
G01-0037	84137.96827	17699.22534		WWTP	KeyserWWTP-01	1/11/22 9:00	1.153				
E02-0010	63350.70759	58067.82402		WWTP	AthensWWTP-01	11/16/21 8:00	0.117				
A02-0283	64204.48624	18334.10639		WVU Morgantown	Evansdale-01	1/12/22 9:00					
G02-0002	0	18425.88894		WVU Keyser	PotomacState-01	10/9/21 9:00					
G01-0022	190421.7839	145912.5835		WWTP	KeyserWWTP-01	11/17/21 9:00					
A0023	49394.4	29647.2		WWTP	StarCityWWTP-01	11/22/20 0:00	8.214				
A02-0260	2692.779335	0		WVU Morgantown	Evansdale-01	12/6/21 9:00					
K01-0011	19753.06179	16930.62644		WWTP	ParkersburgWWTP-01	12/29/21 6:30	8.569				
A02-0278				WVU Morgantown	HonorsSummit-01 (MUB)	1/24/22 9:00					
A03-0088	0	0		K-12	MountainviewES-01	12/8/21 6:00					
A01-0152	354403.0702	46056.89004		WWTP	StarCityWWTP-01	1/15/22 0:00	9				
A1095	4702.5	0		WWTP	StarCityWWTP-01	7/19/21 0:00	7.303				
A01-0014	123142.5661	159446.6895		WWTP	StarCityWWTP-01	8/24/21 0:00	9.811				
C01-0040	187409.8974	161637.2904		WWTP	WheelingWWTP-01	11/16/21 7:00	6.15				
A02-0257	0	0		WVU Morgantown	HonorsSummit-01 (MUB)	12/11/21 9:00					
A02-0233	0	2680.037515		WVU Morgantown	Evansdale-01	11/27/21 9:00					
A01-0024				WWTP	StarCityWWTP-01						
A0248	85080	109416		WWTP	StarCityWWTP-01	11/10/20 0:00	9.203				
A03-0017	0	3375.754692		K-12	UniversityHS-01	9/29/21 6:00					
A03-0081	7368.669463	0		K-12	MountainviewES-01	11/12/21 6:00					
A1052	0	4013.75		WWTP	StarCityWWTP-01	5/19/21 0:00	7.301				
G02-0003				WVU Keyser	PotomacState-01	10/14/21 9:30					
A02-0150	16062.10165	16062.10165		WVU Morgantown	NorthHighSt-02 (MUB)	10/6/21 9:48					
A1067	0	0		WWTP	StarCityWWTP-01	6/9/21 0:00	6.716				
A02-0232	0	18495.92552		WVU Morgantown	CollegePark-02	11/20/21 10:39					
A03-0018	0	0		K-12	SuncrestES-01	10/1/21 6:00					
C01-0026	14442.98193	16048.27419		WWTP	WheelingWWTP-01	10/24/21 7:00					
E02-0022	39823.68037	26544.91659		WWTP	AthensWWTP-01	12/15/21 8:00	0.107				
A03-0172				K-12	MorgantownHS-01						
G01-0023				WWTP	KeyserWWTP-01	11/20/21 9:00	0.518				
A02-0307				WVU Morgantown	Evansdale-01	1/24/22 9:00					
A02-0077				WVU Morgantown	HonorsSummit-01 (MUB)	9/3/21 10:11					
C01-0027	35731.30414	17859.26968		WWTP	WheelingWWTP-01	10/25/21 7:00					
A02-0244	2793.465592	5587.118044		WVU Morgantown	OaklandE-02	12/1/21 9:00					
C01-0104	326966.7757	324498.8233		WWTP	WheelingWWTP-01	1/11/22 7:00	11.261				
F01-0023	17425	10200		WWTP	WestonWWTP-01	11/8/21 10:00					
A01-0155	701395.3185	751767.0822		WWTP	StarCityWWTP-01	1/18/22 0:00	12.2				
A02-0062	6686.152257	15603.64738		WVU Morgantown	HonorsSummit-01 (MUB)	8/30/21 10:04					
C01-0073	9309.932515	0		WWTP	WheelingWWTP-01	1/3/22 7:00	15.17				
C01-0074	52361.66306	11214.85066		WWTP	WheelingWWTP-01	1/4/22 7:00	11.407				
A1031	78180	104250		WWTP	StarCityWWTP-01	4/18/21 12:00	8.717				
C01-0052	14598.82429	5838.920083		WWTP	WheelingWWTP-01	12/5/21 7:00	5.703				
A02-0299	2929236.217	3353401.809		WVU Morgantown	CollegePark-02	1/19/22 9:00					
A02-0196	5440.893844	9068.813771		WVU Morgantown	HonorsSummit-01 (MUB)	10/27/21 9:55					
B01-0071				WWTP	CharlestonWWTP-01	11/24/21 7:00					
A02-0163	40500.40796	46736.62066		WVU Morgantown	NorthHighSt-02 (MUB)	10/9/21 9:00					
C01-0025				WWTP	WheelingWWTP-01	10/17/21 7:00					
E02-0003	1700	1700		WWTP	AthensWWTP-01	11/4/21 8:00					
H01-0060	5994.24527	23982.12824		WWTP	MoundsvilleWWTP-01	1/1/22 8:00					
A1057	0	0		WWTP	StarCityWWTP-01	5/26/21 0:00	7.093				
A01-0091	95145.93244	87039.98923		WWTP	StarCityWWTP-01	11/16/21 0:00	7.713				
G02-0010				WVU Keyser	PotomacState-01						
E01-0019	75739.60528	101016.5901		WWTP	PrincetonWWTP-01	12/9/21 10:00	1.636				
A02-0030	202692.1284	159814.7225		WVU Morgantown	NorthHighSt-02 (MUB)	8/21/21 9:00					
A02-0044				WVU Morgantown							
C01-0106	254645.606	244531.1496		WWTP	WheelingWWTP-01	1/13/22 7:00	8.363				
A03-0048				K-12	NorthES-01	10/22/21 6:00					
H01-0064	33397.03817	21249.58344		WWTP	MoundsvilleWWTP-01	1/5/22 8:00	2.2				
A1050	0	0		WWTP	StarCityWWTP-01	5/17/21 0:00	7.923				
H01-0101	227071.3574	223621.6906		WWTP	MoundsvilleWWTP-01	1/17/22 8:00	1.7				
B01-0005	0	0		WWTP	CharlestonWWTP-01	9/23/21 7:00					
A02-0090	51991.14084	74507.3241		WVU Morgantown	CollegePark-02	9/6/21 9:00					
H01-0070	147009.37	132851.4294		WWTP	MoundsvilleWWTP-01	1/11/22 8:00	2.3				
A1082	4797.5	4797.5		WWTP	StarCityWWTP-01	6/30/21 0:00	7.983				
A02-0298	2838686.986	2889614.711		WVU Morgantown	HonorsSummit-01 (MUB)	1/19/22 9:00					
G02-0011	0	3612.5		WVU Keyser	PotomacState-01	10/12/21 9:25					
A02-0120	42351.95488	24696.58732		WVU Morgantown	OaklandE-02	9/20/21 9:33					
G01-0049	35260.71321	8812.398221		WWTP	KeyserWWTP-01	12/25/21 9:00	0.831				
A1001	17430	5820		WWTP	StarCityWWTP-01	3/8/21 12:00	8.776				
A1005	0	0		WWTP	StarCityWWTP-01	3/14/21 5:30	8.712				
H01-0066	144693.5561	138105.7276		WWTP	MoundsvilleWWTP-01	1/7/22 8:00	2				
H01-0002	54749.96507	33677.71953		WWTP	MoundsvilleWWTP-01	9/28/21 8:00					
A01-0133	33907.67287	30138.7994		WWTP	StarCityWWTP-01	12/23/21 0:00	6.3				
E02-0018	97710.13498	19523.81149		WWTP	AthensWWTP-01	12/7/21 8:00	0.158				
A02-0294	169565.1215	64237.07642		WVU Morgantown	CollegePark-02	1/15/22 9:00					
A02-0227	274961.0013	294670.2719		WVU Morgantown	OaklandE-02	11/17/21 9:10					
A02-0073	0	0		WVU Morgantown	CollegePark-02	9/1/21 10:59					
A03-0101				K-12	MountainviewES-01	10/25/21 6:00					
A03-0166				K-12	MountainviewES-01						
A02-0139	0	0		WVU Morgantown	Evansdale-01	10/2/21 9:00					
A02-0291	717697.1698	74339.29771		WVU Morgantown	NorthHighSt-02 (MUB)	1/12/22 9:00					
A03-0103				K-12	NorthES-01	10/20/21 6:00					
K01-0010	28116.57105	40172.30697		WWTP	ParkersburgWWTP-01	1/3/22 6:20	10.104				
J01-0005	11623.59221	0		WWTP	AlpineLakeWWTP-01	12/24/21 9:00	0.121				
A03-0154	22195.50345	44402.76213		K-12	MountainviewES-01	12/17/21 6:00					
H01-0091	43464.41209	62796.40697		WWTP	MoundsvilleWWTP-01	12/13/21 8:00					
A03-0202	0	0		K-12	NorthES-01	11/29/21 6:00					
A1097	0	4560		WWTP	StarCityWWTP-01	7/21/21 0:00	7.124				
A02-0309				WVU Morgantown	OaklandE-02	1/24/22 9:00					
A02-0117	0	0		WVU Morgantown	NorthHighSt-02 (MUB)	9/18/21 9:00					
A02-0019	32260.78367	42087.55088		WVU Morgantown	CollegePark-02	8/16/21 10:33					
A02-0040	18641.57423	21749.96197		WVU Morgantown	HonorsSummit-01 (MUB)	8/25/21 9:39					
A1002	25860	19380		WWTP	StarCityWWTP-01	3/9/21 12:00	8.423				
G01-0004	92150.051	28325.17728		WWTP	KeyserWWTP-01	10/9/21 8:45					
G01-0053	86515.25736	19199.75415		WWTP	KeyserWWTP-01	10/13/21 9:00					
A02-0216	31638.8984	78417.24336		WVU Morgantown	OaklandE-02	11/10/21 10:14					
A01-0085	36836.94094	39909.13942		WWTP	StarCityWWTP-01	11/9/21 0:00	6.761				
A0227	57576	44784		WWTP	StarCityWWTP-01	1/25/21 0:00	8.487				
A01-0093	102718.3378	132499.6389		WWTP	StarCityWWTP-01	11/18/21 0:00	8.055				
A02-0037	19300.46141	30564.65298		WVU Morgantown	OaklandE-02	8/25/21 9:35					
H01-0027	8500	14662.5		WWTP	MoundsvilleWWTP-01	10/27/21 8:00					
A03-0109	0	0		K-12	MountainviewES-01	10/29/21 6:00					
A02-0096	5452.364162	1817.322625		WVU Morgantown	Evansdale-01	9/11/21 9:00					
E02-0015	0	0		WWTP	AthensWWTP-01	11/23/21 8:00	0.077				
E02-0097	1178725.526	1193624.904		WWTP	AthensWWTP-01	1/11/22 8:00	0.217				
G01-0063	91382.07674	28082.003		WWTP	KeyserWWTP-01	10/27/21 9:00					
A02-0241	185031.3663	214086.315		WVU Morgantown	Evansdale-01	11/29/21 9:00					
C01-0066	24386.80239	42686.21854		WWTP	WheelingWWTP-01	12/23/21 7:00	6.434				
E02-0006	24809.28168	12401.563		WWTP	AthensWWTP-01	11/9/21 8:00					
F01-0021	125463.2789	23849.27586		WWTP	WestonWWTP-01						
G01-0069	1700	1700		WWTP	KeyserWWTP-01	11/6/21 9:00					
A1110	8288.75	20686.25		WWTP	StarCityWWTP-01	7/28/21 0:00	6.999				
K01-0004	4741.417933	9483.372029		WWTP	ParkersburgWWTP-01	12/28/21 6:44	6.292				
C01-0046	200094.7398	106598.302		WWTP	WheelingWWTP-01	11/25/21 7:00	5.489				
A03-0171	0	22394.74565		K-12	SuncrestES-01	1/12/22 6:00					
A02-0173	15503.87613	9301.172569		WVU Morgantown	CollegePark-02	10/13/21 10:28					
G01-0034	0	0		WWTP	KeyserWWTP-01	1/1/22 9:00	2.925				
C01-0053	31737.46582	34179.80768		WWTP	WheelingWWTP-01	12/6/21 7:00	13.779				
A01-0053	195434.0112	169583.6031		WWTP	StarCityWWTP-01	10/2/21 0:00	7.465				
A01-0010	47941.2756	56169.02781		WWTP	StarCityWWTP-01	8/19/21 0:01	11.28				
A02-0098	3171.783853	28560.55185		WVU Morgantown	OaklandE-02	9/13/21 9:32					
A03-0127	0	0		K-12	MorgantownHS-01	1/21/22 6:00					
E01-0006	57310.26262	68469.19984		WWTP	PrincetonWWTP-01	11/8/21 7:35					
A03-0042	0	0		K-12	MountainviewES-01	10/11/21 6:00					
A02-0144				WVU Morgantown							
E01-0023	152060.9924	13554.46698		WWTP	PrincetonWWTP-01	1/3/22 8:00	7.746				
A1029	0	5304		WWTP	StarCityWWTP-01	4/14/21 12:00	10.306				
C01-0101	69617.84519	25635.22842		WWTP	WheelingWWTP-01	1/6/22 7:00	11.117				
A02-0189				WVU Morgantown	NorthHighSt-02 (MUB)	10/23/21 10:44					
A03-0096	0	0		K-12	NorthES-01	11/17/21 6:00					
A03-0192	138375.4693	133044.8896		K-12	MorgantownHS-01	1/24/22 6:00					
A03-0084	0	0		K-12	MountainviewES-01	11/19/21 6:00					
A0215	57840	57840		WWTP	StarCityWWTP-01	1/7/21 0:00	9.271				
K01-0006	28460.23735	0		WWTP	ParkersburgWWTP-01	12/20/21 6:35	4.916				
A01-0006	43018.69243	36868.63124		WWTP	StarCityWWTP-01	8/15/21 0:00	8.629				
A02-0225	0	0		WVU Morgantown	Evansdale-01	11/20/21 9:38					
E01-0010	71343.69358	71343.69358		WWTP	PrincetonWWTP-01	11/17/21 8:00	1.853				
A02-0157	3568.993323	0		WVU Morgantown	HonorsSummit-01 (MUB)	10/4/21 10:00					
A02-0063	83533.12671	131625.5957		WVU Morgantown	NorthHighSt-02 (MUB)	8/30/21 10:19					
K01-0021	204155.6105	204155.6105		WWTP	ParkersburgWWTP-01	1/6/22 6:30	5.672				
A01-0076	112048.3065	106138.4887		WWTP	StarCityWWTP-01	10/30/21 0:00	11.237				
A02-0071	2672.88994	2672.88994		WVU Morgantown	HonorsSummit-01 (MUB)	9/1/21 10:20					
G01-0008	59826.19889	14069.07141		WWTP	KeyserWWTP-01	12/21/21 9:00	0.673				
A01-0009	16785.09569	29381.31845		WWTP	StarCityWWTP-01	8/18/21 12:01	11.837				
A1077	0	3942.5		WWTP	StarCityWWTP-01	6/23/21 0:00	11.82				
C01-0071	42979.08001	50146.55001		WWTP	WheelingWWTP-01	12/30/21 7:00	11.117				
G01-0047	37832.90617	7091.068989		WWTP	KeyserWWTP-01	1/10/22 9:00	1.252				
A03-0160				K-12	MorgantownHS-01						
F01-0015	87170.63606	89739.08544		WWTP	WestonWWTP-01	10/14/21 10:00					
A02-0193				WVU Morgantown	CollegePark-02	10/25/21 10:29					
A02-0281	0	3880.898505		WVU Morgantown	Evansdale-01	1/5/22 9:00					
A0219	82332	110664		WWTP	StarCityWWTP-01	1/13/21 0:00	7.175				
A01-0057	267458.5485	98280.15566		WWTP	StarCityWWTP-01	10/6/21 0:00	7.48				
B01-0064	10921.63246	21846.11242		WWTP	CharlestonWWTP-01	11/15/21 7:00	7.236				
A02-0124	26387.54725	21987.68735		WVU Morgantown	Evansdale-01	9/22/21 9:27					
H01-0086	135002.8485	141599.4935		WWTP	MoundsvilleWWTP-01	12/7/21 8:00	1.5				
A02-0204	0	0		WVU Morgantown	Evansdale-01	11/1/21 9:23					
J01-0008	9206.318334	3068.548227		WWTP	AlpineLakeWWTP-01	12/29/21 9:00	0.46				
A03-0199				K-12	SuncrestES-01						
A1022	105540	112140		WWTP	StarCityWWTP-01	4/5/21 12:00	8.768				
C01-0004	139836.6511	107365.7924		WWTP	WheelingWWTP-01	9/15/21 7:00					
C01-0022				WWTP	WheelingWWTP-01	10/20/21 7:00					
G01-0042	823490.7568	283350.0212		WWTP	KeyserWWTP-01	1/17/22 9:00	0.966				
A01-0123	52696.00756	63243.16084		WWTP	StarCityWWTP-01	12/11/21 0:00	9.6				
A1069	0	0		WWTP	StarCityWWTP-01	6/13/21 0:00	8.646				
B01-0023	139252.6174	137136.9314		WWTP	CharlestonWWTP-01	10/14/21 7:00					
A03-0150	0	0		K-12	MountainviewES-01	1/19/22 6:00					
A01-0051	342206.5973	374986.8608		WWTP	StarCityWWTP-01	9/29/21 0:00	7.542				
G01-0031	824926.0497	321164.5174		WWTP	KeyserWWTP-01	1/15/22 9:00	0.896				
G01-0002	290754.2777	323862.5395		WWTP	KeyserWWTP-01	10/5/21 9:00					
D01-0014	284700.1228	36496.14394		WWTP	CharlesTownWWTP-01	1/17/22 7:15					
